GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006950	response to stress	3567	43	20.43	1e-06	2.600e-04	P	AT1G35140, AT1G45616, AT1G47128, AT1G47890, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G16430, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT2G47800, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G15356, AT3G16530, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT4G09010, AT4G13810, AT4G13920, AT5G03350, AT5G09440, AT5G22110, AT5G25910, AT5G27060, AT5G35630, AT5G40170, AT5G43060	AT1G35140, AT1G45616, AT1G47128, AT1G47890, AT1G71390, AT1G71400, AT1G77000, AT2G15080, AT2G16430, AT2G27190, AT2G28840, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT2G47800, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G15356, AT3G16530, AT3G17590, AT3G18524, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT4G09010, AT4G13810, AT4G13920, AT5G03350, AT5G09440, AT5G22110, AT5G25910, AT5G27060, AT5G35630, AT5G40170, AT5G43060
GO:0006346	methylation-dependent chromatin silencing	21	4	0.12	5.7e-06	1.418e-03	P	AT3G63030, AT4G22745, AT5G35330, AT5G35338	AT3G63030, AT4G22745, AT5G35330, AT5G35338
GO:0000097	sulfur amino acid biosynthetic process	49	5	0.28	9e-06	2.145e-03	P	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640
GO:0071941	nitrogen cycle metabolic process	51	5	0.29	1.1e-05	2.517e-03	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G37600
GO:0009064	glutamine family amino acid metabolic process	92	6	0.53	1.5e-05	3.300e-03	P	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT3G17820, AT5G16570, AT5G35630, AT5G37600
GO:0006386	termination of RNA polymerase III transcription	2	2	0.01	3.3e-05	6.991e-03	P	AT1G01210, AT4G07950	AT1G01210, AT4G07950
GO:0000096	sulfur amino acid metabolic process	68	5	0.39	4.5e-05	9.193e-03	P	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	36	4	0.21	5.3e-05	1.045e-02	P	AT3G63030, AT4G22745, AT5G35330, AT5G35338	AT3G63030, AT4G22745, AT5G35330, AT5G35338
GO:0042126	nitrate metabolic process	42	4	0.24	9.8e-05	1.808e-02	P	AT1G66200, AT3G17820, AT5G16570, AT5G37600	AT1G66200, AT3G17820, AT5G16570, AT5G37600
GO:0042128	nitrate assimilation	42	4	0.24	9.8e-05	1.808e-02	P	AT1G66200, AT3G17820, AT5G16570, AT5G37600	AT1G66200, AT3G17820, AT5G16570, AT5G37600
GO:0016053	organic acid biosynthetic process	567	12	3.25	0.00011	1.907e-02	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600
GO:0046394	carboxylic acid biosynthetic process	567	12	3.25	0.00011	1.907e-02	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600
GO:2001057	reactive nitrogen species metabolic process	47	4	0.27	0.00015	2.524e-02	P	AT1G66200, AT3G17820, AT5G16570, AT5G37600	AT1G66200, AT3G17820, AT5G16570, AT5G37600
GO:0006888	ER to Golgi vesicle-mediated transport	50	4	0.29	0.00019	3.105e-02	P	AT1G02130, AT3G11730, AT4G17530, AT5G47200	AT1G02130, AT3G11730, AT4G17530, AT5G47200
GO:0009641	shade avoidance	20	3	0.11	2e-04	3.178e-02	P	AT2G44910, AT4G16780, AT5G47370	AT2G44910, AT4G16780, AT5G47370
GO:0009086	methionine biosynthetic process	26	3	0.15	0.00043	6.648e-02	P	AT3G22740, AT3G25900, AT3G63250	AT3G22740, AT3G25900, AT3G63250
GO:0019752	carboxylic acid metabolic process	1209	17	6.92	0.00058	8.731e-02	P	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810
GO:0006555	methionine metabolic process	29	3	0.17	6e-04	8.800e-02	P	AT3G22740, AT3G25900, AT3G63250	AT3G22740, AT3G25900, AT3G63250
GO:0033609	oxalate metabolic process	30	3	0.17	0.00067	9.581e-02	P	AT1G18970, AT1G18980, AT1G74820	AT1G18970, AT1G18980, AT1G74820
GO:0043648	dicarboxylic acid metabolic process	123	5	0.7	0.00072	1.004e-01	P	AT1G18970, AT1G18980, AT1G74820, AT5G35630, AT5G55810	AT1G18970, AT1G18980, AT1G74820, AT5G35630, AT5G55810
GO:0006342	chromatin silencing	76	4	0.44	0.00096	1.277e-01	P	AT3G63030, AT4G22745, AT5G35330, AT5G35338	AT3G63030, AT4G22745, AT5G35330, AT5G35338
GO:0009066	aspartate family amino acid metabolic process	76	4	0.44	0.00096	1.277e-01	P	AT3G22740, AT3G25900, AT3G63250, AT5G55810	AT3G22740, AT3G25900, AT3G63250, AT5G55810
GO:0006468	protein phosphorylation	1156	16	6.62	0.00099	1.287e-01	P	AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G70250, AT2G24990, AT4G18250, AT5G21222, AT5G37350, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030	AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G70250, AT2G24990, AT4G18250, AT5G21222, AT5G37350, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030
GO:0045814	negative regulation of gene expression, epigenetic	83	4	0.48	0.00134	1.703e-01	P	AT3G63030, AT4G22745, AT5G35330, AT5G35338	AT3G63030, AT4G22745, AT5G35330, AT5G35338
GO:0044283	small molecule biosynthetic process	758	12	4.34	0.00143	1.765e-01	P	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600	AT1G48470, AT1G66200, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G35640, AT5G16570, AT5G35630, AT5G37600
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	290	7	1.66	0.00145	1.765e-01	P	AT3G18524, AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G18524, AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0043436	oxoacid metabolic process	1326	17	7.59	0.00158	1.883e-01	P	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810
GO:0006082	organic acid metabolic process	1330	17	7.62	0.00163	1.903e-01	P	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810	AT1G18970, AT1G18980, AT1G48470, AT1G66200, AT1G74820, AT2G17640, AT3G12290, AT3G17820, AT3G22740, AT3G25900, AT3G63250, AT4G04350, AT4G35640, AT5G16570, AT5G35630, AT5G37600, AT5G55810
GO:0009826	unidimensional cell growth	311	7	1.78	0.00216	2.471e-01	P	AT4G16780, AT4G17530, AT5G18580, AT5G37600, AT5G47200, AT5G47370, AT5G55810	AT4G16780, AT4G17530, AT5G18580, AT5G37600, AT5G47200, AT5G47370, AT5G55810
GO:0044272	sulfur compound biosynthetic process	164	5	0.94	0.00258	2.894e-01	P	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640	AT2G17640, AT3G22740, AT3G25900, AT3G63250, AT4G35640
GO:0006301	postreplication repair	14	2	0.08	0.00283	3.051e-01	P	AT3G18524, AT5G22110	AT3G18524, AT5G22110
GO:0051172	negative regulation of nitrogen compound metabolic process	327	7	1.87	0.00285	3.051e-01	P	AT3G18524, AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G18524, AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0045892	negative regulation of transcription, DNA-templated	244	6	1.4	0.00288	3.051e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0006535	cysteine biosynthetic process from serine	15	2	0.09	0.00326	3.390e-01	P	AT2G17640, AT4G35640	AT2G17640, AT4G35640
GO:0032259	methylation	429	8	2.46	0.00338	3.452e-01	P	AT1G78140, AT2G41040, AT3G12290, AT3G22740, AT3G25900, AT3G63250, AT4G26600, AT5G55920	AT1G78140, AT2G41040, AT3G12290, AT3G22740, AT3G25900, AT3G63250, AT4G26600, AT5G55920
GO:0048193	Golgi vesicle transport	108	4	0.62	0.00349	3.502e-01	P	AT1G02130, AT3G11730, AT4G17530, AT5G47200	AT1G02130, AT3G11730, AT4G17530, AT5G47200
GO:0042908	xenobiotic transport	16	2	0.09	0.00371	3.659e-01	P	AT2G47800, AT3G62700	AT2G47800, AT3G62700
GO:0060560	developmental growth involved in morphogenesis	347	7	1.99	0.00395	3.829e-01	P	AT4G16780, AT4G17530, AT5G18580, AT5G37600, AT5G47200, AT5G47370, AT5G55810	AT4G16780, AT4G17530, AT5G18580, AT5G37600, AT5G47200, AT5G47370, AT5G55810
GO:0009067	aspartate family amino acid biosynthetic process	56	3	0.32	0.00409	3.899e-01	P	AT3G22740, AT3G25900, AT3G63250	AT3G22740, AT3G25900, AT3G63250
GO:1902679	negative regulation of RNA biosynthetic process	264	6	1.51	0.00423	3.903e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:1903507	negative regulation of nucleic acid-templated transcription	264	6	1.51	0.00423	3.903e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0007264	small GTPase mediated signal transduction	116	4	0.66	0.0045	4.067e-01	P	AT1G02130, AT3G11730, AT4G17530, AT5G47200	AT1G02130, AT3G11730, AT4G17530, AT5G47200
GO:0051253	negative regulation of RNA metabolic process	268	6	1.53	0.00455	4.067e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0070475	rRNA base methylation	18	2	0.1	0.00469	4.127e-01	P	AT4G26600, AT5G55920	AT4G26600, AT5G55920
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	285	6	1.63	0.00611	4.723e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
GO:0016310	phosphorylation	1548	17	8.86	0.00753	5.735e-01	P	AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G70250, AT2G24990, AT4G18250, AT5G03350, AT5G21222, AT5G37350, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030	AT1G66910, AT1G66920, AT1G66930, AT1G67000, AT1G70250, AT2G24990, AT4G18250, AT5G03350, AT5G21222, AT5G37350, AT5G38210, AT5G38240, AT5G38250, AT5G38260, AT5G38280, AT5G39020, AT5G39030
GO:0006353	DNA-templated transcription, termination	23	2	0.13	0.00762	5.735e-01	P	AT1G01210, AT4G07950	AT1G01210, AT4G07950
GO:0010558	negative regulation of macromolecule biosynthetic process	305	6	1.75	0.00839	6.233e-01	P	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370	AT3G63030, AT4G16780, AT4G22745, AT5G35330, AT5G35338, AT5G47370
