Orthogroup,MpTak_v6.1r1.protein,Athaliana_447_Araport11.protein
OG0001171,"Mp5g07340.1, Mp5g07320.1, Mp4g06600.1","AT1G20630, AT4G35090"
OG0001172,Mp2g09060.1,"AT3G07730, AT4G01170, AT1G21560, AT1G77270"
OG0001173,Mp1g07700.1,"AT3G56640, AT4G02350"
OG0001174,Mp1g29190.1,AT4G38130
OG0001176,Mp1g13030.1,"AT1G09270, AT3G06720, AT4G16143"
OG0001177,"Mp3g07520.2, Mp3g07520.1","AT1G22730, AT5G63190, AT3G48390, AT4G24800"
OG0001178,"Mp3g15540.2, Mp3g15540.1, Mp8g15180.1, Mp8g15180.2","AT4G35785, AT1G07350"
OG0001179,"Mp1g00090.6, Mp1g00090.1, Mp1g00090.2, Mp1g00090.4, Mp1g00090.5, Mp1g00090.3","AT1G77890, AT4G08540"
OG0001180,Mp2g09130.1,AT4G15560
OG0001181,Mp6g17600.1,"AT4G26100, AT5G57015, AT1G72710"
OG0001182,"Mp2g04850.1, Mp7g05520.1","AT4G33240, AT3G14270"
OG0001183,Mp2g04370.1,"AT5G61580, AT4G32840, AT4G26270, AT5G56630, AT4G29220"
OG0001184,Mp2g13930.1,"AT1G01620, AT4G00430, AT4G23400, AT3G61430"
OG0001186,"Mp6g00710.1, Mp6g00710.2","AT4G27130, AT5G54760, AT1G54290, AT5G54940"
OG0001188,Mp8g01060.1,"AT1G19270, AT4G36860"
OG0001189,Mp2g00580.1,"AT5G52650, AT4G25740, AT5G41520"
OG0001190,Mp6g07890.1,"AT3G51490, AT4G35300"
OG0001192,"Mp5g16720.1, Mp5g16720.2, Mp5g16720.3",AT4G35790
OG0001193,Mp6g16080.1,"AT3G27960, AT1G27500, AT4G10840"
OG0001194,"Mp3g10920.1, Mp3g10920.2, Mp3g10920.3","AT1G64110, AT5G52882, AT4G28000"
OG0001195,Mp1g17750.1,"AT4G34215, AT3G53010"
OG0001196,Mp7g07610.1,"AT4G39630, AT1G54540, AT5G36970, AT1G65690"
OG0001197,Mp7g07570.1,AT1G48090
OG0001197,Mp3g08780.1,AT4G17140
OG0001198,Mp4g14020.1,AT4G13420
OG0001198,"Mp6g19920.1, Mp7g07060.1, Mp7g00710.1",AT1G60160
OG0001199,"Mp6g21160.1, Mp7g05960.1, Mp8g06010.1","AT3G51380, AT5G62070, AT4G23060"
OG0001200,Mp1g09040.1,"AT5G56510, AT1G22240, AT1G78160, AT1G35730, AT4G08840"
OG0001201,Mp1g00510.1,"AT4G20380, AT1G32540"
OG0001202,Mp2g07800.1,"AT3G24220, AT1G30100, AT4G18350, AT3G14440, AT1G78390"
OG0001203,Mp1g09960.1,"AT5G61480, AT1G08590, AT4G28650"
OG0001204,Mp6g08770.1,"AT5G43460, AT1G04340, AT4G14420"
OG0001205,Mp1g14440.1,"AT4G02680, AT5G58550, AT3G51770"
OG0001206,Mp2g26830.1,"AT4G39660, AT3G08860"
OG0001208,Mp1g21640.1,"AT1G26230, AT5G56500, AT3G13470, AT1G55490"
OG0001209,Mp1g18460.1,"AT3G25600, AT1G18530, AT1G32250, AT3G03000"
OG0001210,"Mp6g00600.1, Mp6g00600.2","AT1G68280, AT1G68260, AT1G35290, AT1G35250"
OG0001211,"Mp3g08980.1, Mp6g07320.1","AT5G14740, AT3G01500, AT1G70410, AT1G23730"
OG0001215,Mp2g23400.1,"AT1G69510, AT5G64130"
OG0001216,"Mp8g14880.1, Mp8g14880.2","AT5G52330, AT5G43560, AT1G04300"
OG0001217,Mp7g10320.1,"AT1G54740, AT5G22390"
OG0001218,"Mp3g15650.2, Mp3g15650.1","AT1G77510, AT1G21750"
OG0001219,Mp7g16160.1,"AT1G79550, AT3G12780, AT1G56190"
OG0001220,Mp3g19770.1,"AT5G20250, AT1G55740, AT3G57520"
OG0001223,Mp7g06700.1,"AT5G61210, AT5G07880, AT1G13890"
OG0001225,Mp1g20450.1,"AT5G16700, AT5G17500, AT1G13130, AT3G26140, AT3G26130"
OG0001226,"Mp3g19570.1, Mp3g19570.2","AT3G06230, AT1G73500, AT1G18350, AT3G21220, AT1G51660"
OG0001228,"Mp4g11520.1, Mp4g11520.2",AT1G78650
OG0001229,"Mp6g15320.3, Mp6g15320.2, Mp6g15320.1","AT1G51340, AT3G08040"
OG0001230,"Mp1g20160.4, Mp1g20160.3, Mp1g20160.2, Mp1g20160.1","AT1G23770, AT1G23780, AT1G70360"
OG0001231,Mp6g20830.1,"AT3G29350, AT5G39340, AT1G03430, AT3G21510"
OG0001232,Mp2g04890.1,"AT5G42020, AT5G28540, AT1G09080"
OG0001233,Mp6g14570.1,AT1G43770
OG0001234,"Mp1g02000.6, Mp1g02000.7","AT1G19450, AT1G75220"
OG0001236,Mp5g15430.1,"AT3G14380, AT1G17200, AT5G54980"
OG0001237,"Mp7g07550.1, Mp8g12510.1",AT1G34370
OG0001238,Mp5g10030.1,"AT1G76310, AT1G20610"
OG0001239,Mp2g20990.1,"AT1G51070, AT5G54680"
OG0001240,Mp6g00440.1,"AT5G12970, AT3G57880, AT1G51570"
OG0001242,"Mp6g18270.1, Mp4g09810.1","AT3G10560, AT5G04630, AT5G04660, AT3G10570, AT1G11600"
OG0001243,Mp5g19880.1,"AT1G13440, AT3G04120"
OG0001244,Mp3g05000.1,"AT5G67580, AT3G49850, AT1G49950"
OG0001245,Mp2g08680.1,"AT5G02960, AT3G09680"
OG0001247,Mp1g16550.1,"AT5G52240, AT3G48890"
OG0001248,"Mp3g03220.1, Mp4g19320.1","AT3G03280, AT5G17350"
OG0001249,"Mp2g04120.1, Mp2g04120.2","AT3G53410, AT3G09770, AT5G03200"
OG0001250,Mp2g11820.1,AT3G10985
OG0001250,Mp5g15750.1,AT5G01740
OG0001251,"Mp8g18590.1, Mp8g18700.1","AT3G10120, AT5G03890, AT3G21680"
OG0001252,"Mp1g02010.2, Mp1g02010.1","AT3G44050, AT3G19050, AT3G17360"
OG0001253,Mp3g11350.1,"AT5G25310, AT3G07620, AT5G03795"
OG0001254,"Mp2g26240.1, Mp2g26240.2, Mp8g05740.1","AT3G44100, AT3G11780, AT5G06480"
OG0001255,"MpUg00160.1, MpVg00770.1","AT3G53030, AT3G44850, AT5G22840"
OG0001256,Mp2g21910.1,AT3G04720
OG0001257,Mp4g07380.1,"AT5G25330, AT5G22070, AT3G52060"
OG0001258,Mp2g02590.1,AT3G12120
OG0001259,Mp1g03200.1,"AT5G06770, AT3G12130"
OG0001260,Mp3g02320.1,AT3G01470
OG0001261,"Mp4g20310.3, Mp4g20310.2, Mp4g20310.1","AT5G02870, AT3G09630"
OG0001262,"Mp5g20590.2, Mp5g20590.1, Mp4g00100.1, Mp4g00100.2",AT3G10020
OG0001263,Mp2g10330.1,"AT5G63450, AT3G48520, AT3G01900"
OG0001264,Mp8g14020.1,"AT3G05030, AT5G27150, AT5G55470"
OG0001265,"Mp5g17620.1, Mp5g17620.2",AT3G13050
OG0001266,"Mp4g16230.1, Mp4g16230.2, Mp4g16160.1","AT3G48060, AT3G48050"
OG0001267,"Mp1g19720.5, Mp1g19720.6, Mp1g19720.3, Mp1g19720.4, Mp1g19720.7, Mp1g19720.1, Mp1g19720.2",AT3G53270
OG0001268,"Mp7g08650.2, Mp7g08650.1",AT3G47520
OG0001269,Mp4g18310.1,"AT5G59613, AT3G46430"
OG0001270,Mp1g18000.1,"AT5G65200, AT5G62560, AT3G47820, AT5G40140"
OG0001271,Mp4g09130.1,"AT5G37070, AT5G01610, AT3G08890"
OG0001272,Mp1g29670.1,"AT5G26594, AT3G04280"
OG0001273,Mp5g02790.1,"AT3G07200, AT5G48655"
OG0001274,"Mp5g00130.2, Mp5g00130.5, Mp5g00130.4, Mp5g00130.3, Mp5g00130.7, Mp5g00130.8, Mp5g00130.1, Mp5g00130.6",AT3G05480
OG0001275,Mp3g15430.1,"AT3G11910, AT5G06600"
OG0001276,"Mp1g00340.4, Mp1g00340.2, Mp1g00340.1, Mp1g00340.3, Mp2g16740.2, Mp2g16740.1","AT5G15380, AT5G14620"
OG0001277,"Mp7g01040.2, Mp7g01040.1","AT5G07270, AT5G57740"
OG0001278,"Mp2g16560.2, Mp2g16560.1",AT5G02810
OG0001280,Mp1g26000.1,"AT5G43530, AT5G22750"
OG0001281,"Mp7g19390.1, Mp3g15330.1","AT5G06730, AT5G06720"
OG0001282,"Mp5g10520.2, Mp5g10520.1","AT5G09670, AT5G64550"
OG0001286,Mp4g11820.1,AT5G62000
OG0001287,"Mp3g09460.1, Mp3g09460.2, Mp3g09460.3",AT5G61380
OG0001288,"Mp5g01230.3, Mp5g01230.6, Mp5g01230.5, Mp5g01230.2, Mp5g01230.8, Mp5g01230.7, Mp5g01230.4, Mp5g01230.1",AT5G46070
OG0001306,Mp1g00740.1,"ATCG00720, ATMG00220, AT2G07727"
OG0001308,Mp6g03480.1,"AT2G36540, AT2G36550, AT3G29760"
OG0001310,"Mp2g24350.3, Mp2g24350.1, Mp2g24350.2, Mp2g24350.4","AT2G14120, AT4G33650"
OG0001311,Mp3g14300.1,"AT2G24420, AT4G31340"
OG0001312,Mp2g26590.1,AT2G39940
OG0001315,"Mp4g07790.1, Mp4g07790.2","AT3G59830, AT2G43850, AT2G31800"
OG0001316,"Mp7g02980.2, Mp7g02980.1","AT2G30870, AT2G30860"
OG0001317,"Mp1g14290.1, Mp1g07720.1","AT5G18380, AT2G09990, AT3G04230"
OG0001319,"Mp5g17820.1, Mp7g14810.1",AT2G30130
OG0001319,Mp8g09250.1,AT1G31320
OG0001320,Mp3g23580.1,"AT1G06890, AT2G30460"
OG0001321,Mp6g05620.1,"AT3G55170, AT3G09500, AT2G39390, AT5G02610"
OG0001322,"Mp1g12700.1, Mp1g12700.2","AT3G58120, AT2G42380"
OG0001325,"Mp8g15510.2, Mp8g15510.1","AT5G65280, AT1G52920, AT2G20770"
OG0001326,"Mp5g21820.1, Mp5g21820.2","AT2G47090, AT3G62240"
OG0001329,"Mp1g14200.1, Mp1g14200.2, Mp1g17300.1","AT5G58000, AT4G28430, AT2G20590"
OG0001331,"Mp6g00480.1, Mp6g00500.1","AT2G16060, AT3G10520"
OG0001332,"Mp3g16470.1, Mp3g04230.1","AT1G65290, AT2G44620"
OG0001333,"Mp6g07690.1, Mp6g01550.1","AT2G01140, AT4G38970"
OG0001334,Mp1g23200.1,"AT1G01470, AT2G46140"
OG0001336,Mp2g12900.1,"AT2G20900, AT4G28130"
OG0001338,"Mp2g23890.1, Mp2g23890.2","AT2G36970, AT2G28080"
OG0001339,Mp2g14970.1,"AT4G20170, AT5G44670, AT2G33570"
OG0001340,"Mp1g07120.1, Mp1g06170.1","AT3G11250, AT3G09200, AT2G40010"
OG0001341,"Mp6g07900.1, Mp6g07900.2","AT2G19180, AT1G78890, AT1G16840"
OG0001342,Mp6g16880.1,"AT3G13860, AT2G33210, AT3G23990"
OG0001345,Mp4g18350.1,"AT1G68060, AT1G24764, AT2G01750, AT1G14840"
OG0001348,Mp3g00010.1,"AT3G04670, AT5G28650, AT2G30590"
OG0001350,"Mp1g16300.1, Mp7g07760.1","AT1G61670, AT2G01070"
OG0001351,Mp6g18230.1,"AT2G37380, AT2G39370"
OG0001354,Mp5g04760.1,"AT5G04460, AT2G27950"
OG0001355,Mp1g15110.1,"AT5G44650, AT1G30850, AT2G34910, AT4G20190, AT5G44660"
OG0001356,"Mp1g23090.5, Mp1g23090.2, Mp1g23090.1, Mp1g23090.4, Mp1g23090.3",AT2G27100
OG0001357,"Mp7g05740.2, Mp7g05740.7, Mp7g05740.3, Mp7g05740.5, Mp7g05740.4, Mp7g05740.6, Mp7g05740.8, Mp7g05740.1",AT2G16950
OG0001358,Mp4g07590.1,AT2G25737
OG0001359,"Mp3g13190.1, Mp3g13190.2","AT4G15130, AT2G32260"
OG0001362,"Mp3g05860.2, Mp3g05860.1","AT2G35160, AT2G22740"
OG0001363,"Mp8g08200.2, Mp8g08200.1","AT2G35210, AT4G17890, AT5G46750"
OG0001364,Mp6g11500.1,"AT4G34420, AT2G15730, AT3G50620"
OG0001366,Mp1g20720.1,"AT4G31170, AT2G24360"
OG0001367,"Mp5g20610.1, Mp5g02710.3, Mp5g02710.1, Mp5g02710.2",AT2G06925
OG0001368,Mp8g00880.1,"AT5G22360, AT5G11150, AT4G32150, AT2G25340"
OG0001369,"MpUg00470.1, Mp1g05620.1","AT3G10010, AT4G34060, AT5G04560, AT2G36490"
OG0001370,Mp3g23100.1,"AT2G27820, AT1G08250"
OG0001371,Mp2g13700.1,"AT3G47080, AT2G29670, AT1G07280"
OG0001372,"Mp1g02910.2, Mp1g02910.3, Mp1g02910.1, Mp1g02910.4","AT1G02880, AT2G44750"
OG0001374,Mp3g21660.1,"AT1G73590, AT1G23080, AT1G70940, AT2G01420"
OG0001375,Mp6g19490.1,"AT2G13620, AT1G79400, AT1G16380"
OG0001377,Mp7g03150.1,"AT2G22300, AT5G64220, AT5G09410"
OG0001378,Mp5g09070.1,"AT3G54710, AT2G31270"
OG0001379,"Mp2g19870.1, Mp2g19860.1","AT2G42260, AT3G57860"
OG0001381,"Mp1g08860.2, Mp1g08860.1","AT1G66340, AT2G40940"
OG0001384,"Mp5g02130.2, Mp5g02130.1, Mp5g02130.3","AT2G45880, AT4G00490"
OG0001385,"Mp4g10190.1, Mp4g10190.2","AT2G14255, AT5G20350"
OG0001386,Mp3g01020.1,"AT5G16930, AT3G03060, AT2G18330, AT4G36580"
OG0001387,Mp7g08080.1,"AT5G06460, AT2G30110"
OG0001388,"Mp7g11470.1, Mp7g11470.2","AT2G32060, AT1G15930"
OG0001389,"Mp7g14320.2, Mp7g14320.1","AT3G02110, AT2G24010, AT2G24000, AT4G30610"
OG0001390,Mp6g06540.1,"AT3G09700, AT2G35795"
OG0001391,"Mp1g16510.2, Mp1g16510.1","AT1G72630, AT1G17455, AT2G06255"
OG0001392,"Mp2g16580.1, Mp2g16580.6","AT2G18600, AT4G36800"
OG0001393,"Mp2g15570.4, Mp2g15570.3, Mp2g15570.2, Mp2g15570.1","AT3G57780, AT2G42320, AT5G06930"
OG0001397,Mp2g14030.1,"AT3G15770, AT1G15350, AT4G32342, AT5G25360"
OG0001398,Mp2g19300.1,"AT5G66200, AT4G36030, AT4G34940"
OG0001401,"MpUg00400.1, Mp2g22680.1, Mp4g01400.1, Mp2g06440.1, Mp1g16280.1",AT4G25330
OG0001402,Mp4g07250.1,"AT1G30200, AT4G18380, AT5G46170"
OG0001403,Mp8g16970.1,"AT1G17745, AT3G19480, AT4G34200"
OG0001404,Mp4g06200.1,"AT1G09660, AT5G56140, AT4G26480"
OG0001405,Mp5g20180.1,"AT1G61100, AT4G27430, AT5G43310"
OG0001406,Mp2g19500.1,"AT4G14660, AT3G22900, AT4G14520"
OG0001407,Mp8g17560.1,"AT4G08390, AT1G77490"
OG0001409,"Mp3g05610.2, Mp3g05610.1","AT4G00990, AT4G21430"
OG0001411,"Mp3g22530.2, Mp3g22530.1","AT5G47770, AT4G17190"
OG0001412,Mp8g09680.1,"AT5G12150, AT5G19390, AT4G24580"
OG0001414,Mp3g20920.1,"AT4G24520, AT4G30210"
OG0001416,Mp5g19260.1,AT3G06860
OG0001416,"Mp5g06190.1, Mp5g06190.2",AT4G29010
OG0001417,Mp8g11390.1,"AT5G11700, AT4G32920, AT5G47020"
OG0001418,Mp1g03120.1,"AT3G54640, AT4G02610"
OG0001419,Mp7g10500.1,"AT5G36780, AT5G36690, AT3G15340, AT4G27500"
OG0001420,Mp2g05250.1,"AT1G07810, AT1G07670"
OG0001420,"Mp8g06730.3, Mp8g06730.2, Mp8g06730.1",AT4G00900
OG0001421,"Mp8g13310.1, Mp8g13250.1","AT5G49910, AT4G24280"
OG0001423,Mp2g12910.1,"AT1G47056, AT4G07400, AT3G50080, AT5G67250"
OG0001424,"Mp7g16890.1, Mp7g16890.2, Mp7g16890.3, Mp7g16890.4, Mp7g16890.5, Mp7g16870.1","AT5G54930, AT4G21895, AT5G52890"
OG0001425,"Mp8g15050.2, Mp8g15050.1, Mp8g14540.1, Mp8g14590.1, Mp8g14500.1","AT4G12840, AT4G18530"
OG0001426,Mp7g12480.1,"AT5G46430, AT4G18100"
OG0001428,"Mp2g20460.1, Mp4g03600.1, Mp7g15610.1, Mp2g19400.1","AT1G11540, AT1G61740, AT4G21260, AT4G21250"
OG0001429,Mp7g04110.1,"AT5G45840, AT4G18640"
OG0001430,Mp6g02310.1,"AT4G35220, AT1G44542, AT4G34180"
OG0001432,Mp4g20600.2,"AT3G16857, AT4G16110"
OG0001433,Mp7g12950.1,"AT4G11920, AT4G22910, AT5G13840"
OG0001436,"Mp5g02820.1, Mp1g07420.1","AT4G09800, AT1G22780, AT1G34030"
OG0001438,"Mp4g02890.1, Mp3g21270.1","AT1G01170, AT4G00860"
OG0001439,"Mp4g23360.1, Mp6g10500.1","AT3G48930, AT5G23740, AT4G30800"
OG0001440,Mp6g00050.1,"AT3G11820, AT4G03330, AT1G11250, AT1G61290"
OG0001441,Mp4g14040.1,"AT1G79090, AT3G22270, AT4G14990"
OG0001442,Mp1g08940.1,"AT4G19640, AT5G45130"
OG0001443,"Mp1g29560.3, Mp1g29560.6, Mp1g29560.1, Mp1g29560.5, Mp1g29560.4, Mp1g29560.2","AT4G14365, AT3G23280"
OG0001444,Mp5g03040.1,"AT4G12090, AT1G12390, AT1G12340, AT1G62880, AT3G12180"
OG0001445,Mp3g22830.1,"AT4G08500, AT4G08480, AT4G08470"
OG0001446,"Mp6g19620.1, Mp3g12690.1","AT1G22882, AT1G71360, AT4G23950"
OG0001447,Mp8g01490.2,"AT5G55230, AT4G26760"
OG0001448,Mp5g01430.1,"AT4G00500, AT3G49050, AT5G37710"
OG0001450,Mp2g11520.1,"AT3G22760, AT4G14770, AT3G22780"
OG0001452,Mp6g02810.1,"AT4G34670, AT3G04840"
OG0001454,"Mp3g09980.1, Mp3g09980.3","AT5G39430, AT3G29180, AT1G13970"
OG0001455,"Mp2g12400.1, Mp1g02160.1","AT1G15250, AT3G16080, AT1G52300"
OG0001456,"Mp7g12400.1, Mp2g26790.1","AT3G20015, AT1G25510, AT3G18490"
OG0001457,Mp3g10600.1,"AT1G25083, AT1G25155, AT1G24909, AT1G24807, AT5G57890, AT1G25220"
OG0001458,Mp7g01690.1,"AT1G36240, AT3G18740, AT1G77940"
OG0001459,"Mp6g16310.1, Mp8g08060.1","AT1G47980, AT3G62730"
OG0001460,Mp1g07860.1,"AT1G17290, AT1G72330"
OG0001461,Mp5g17640.1,"AT1G48490, AT3G17850, AT5G62310"
OG0001462,"Mp8g17100.1, Mp8g17100.2","AT1G55840, AT5G47730"
OG0001463,"Mp6g05440.1, Mp6g05440.2, Mp6g05440.3, Mp6g05480.1",AT1G71860
OG0001464,Mp1g11210.1,"AT1G76300, AT1G20580"
OG0001465,"Mp1g12110.2, Mp1g12110.8, Mp1g12110.6, Mp1g12110.5, Mp1g12110.7, Mp1g12110.3, Mp1g12110.4, Mp1g12110.1, Mp1g12110.9",AT1G73740
OG0001466,"Mp1g14350.2, Mp1g14350.1","AT1G56080, AT1G16520"
OG0001467,"Mp1g03830.1, Mp1g03830.2, Mp1g03830.3","AT3G50880, AT1G75230, AT1G19480"
OG0001469,Mp2g02640.1,"AT1G01230, AT5G42000"
OG0001472,"Mp5g16810.1, Mp5g16810.2","AT1G27910, AT1G67530, AT1G24330"
OG0001473,Mp4g17040.1,"AT1G26880, AT1G69620, AT3G28900"
OG0001474,Mp6g01390.1,"AT1G57860, AT1G57660, AT1G09690, AT1G09590"
OG0001475,Mp1g03720.1,"AT1G19580, AT1G47260"
OG0001479,Mp1g10820.1,"AT1G10870, AT1G60860, AT5G13300"
OG0001480,"Mp2g13850.2, Mp2g13850.1, Mp2g13850.8, Mp2g13850.7, Mp2g13850.6, Mp2g13850.4, Mp2g13850.5, Mp2g13850.3","AT1G27110, AT1G27150"
OG0001481,"Mp2g00400.2, Mp2g00400.1","AT3G03880, AT1G55340"
OG0001482,Mp7g04100.1,"AT1G57720, AT1G09640"
OG0001483,Mp1g15130.1,"AT1G18250, AT1G73620, AT1G75050, AT1G75030, AT1G75040, AT1G19320"
OG0001484,"Mp2g10230.1, Mp2g10230.2",AT1G31930
OG0001486,Mp1g11470.2,"AT1G07070, AT1G74270, AT3G55750, AT1G41880"
OG0001487,Mp2g09230.1,"AT5G43130, AT1G27720"
OG0001488,Mp7g02280.1,"AT1G67890, AT5G49470, AT3G06630, AT3G06640, AT3G06620"
OG0001489,Mp4g18690.1,"AT1G34430, AT3G25860"
OG0001490,"Mp7g00420.2, Mp7g00420.1, Mp7g00420.3","AT1G32440, AT5G52920"
OG0001491,Mp3g21140.1,"AT5G14650, AT1G60590, AT1G10640"
OG0001492,"Mp5g20910.1, Mp1g18750.1","AT3G55600, AT1G54110"
OG0001493,"Mp2g16700.1, Mp4g01480.1, Mp2g14870.1",AT1G17840
OG0001494,"Mp1g16040.3, Mp1g16040.1, Mp1g16040.2","AT5G41380, AT1G63820, AT5G59990"
OG0001495,"Mp3g16540.1, Mp3g15890.2, Mp3g15890.1","AT1G20670, AT1G76380"
OG0001496,"Mp4g18640.1, Mp4g18640.3, Mp4g18640.2","AT1G67600, AT1G24350"
OG0001497,"Mp5g01860.1, Mp5g01860.2","AT5G41340, AT1G63800"
OG0001498,Mp4g14550.1,"AT1G51770, AT3G21310, AT5G25970, AT5G11730"
OG0001499,Mp1g15530.1,"AT1G05610, AT5G48300"
OG0001503,Mp5g11970.1,"AT1G64185, AT5G41650"
OG0001504,Mp7g06950.1,"AT5G51930, AT3G56060, AT5G51950, AT1G12570"
OG0001505,"Mp6g16320.1, Mp5g10660.1","AT1G64190, AT5G41670, AT3G02360"
OG0001506,Mp5g04140.1,"AT1G34540, AT3G56630"
OG0001507,"Mp5g14130.3, Mp5g14130.2, Mp5g14130.1","AT1G17720, AT1G51690"
OG0001510,Mp1g06460.1,"AT1G27350, AT1G27330"
OG0001511,"Mp6g09190.1, Mp3g10380.1, Mp3g10210.1, Mp3g10200.1, Mp3g03190.1, Mp3g03170.1, Mp3g03180.1, Mp3g11280.1, Mp4g05460.1, Mp4g05450.1",AT1G19530
OG0001512,"Mp1g21150.1, Mp1g21150.3, Mp1g21150.4, Mp1g21150.2","AT5G59710, AT1G07705"
OG0001513,Mp1g14840.1,AT1G02260
OG0001514,Mp7g11150.1,"AT1G15960, AT1G80830"
OG0001518,"Mp6g06150.1, Mp6g05060.1, Mp6g05060.2, Mp6g06150.2, Mp6g06150.3","AT5G02520, AT1G58210"
OG0001519,Mp3g03610.1,"AT1G33320, AT3G01120"
OG0001520,Mp7g18850.1,"AT3G03720, AT1G58030, AT5G36940"
OG0001521,"Mp8g17130.1, Mp1g17610.1","AT3G14830, AT1G53450"
OG0001522,Mp1g04550.1,"AT3G48590, AT5G63470, AT1G56170"
OG0001523,"Mp4g06470.3, Mp4g06470.1, Mp4g06470.2",AT1G22930
OG0001524,Mp3g15000.1,"AT1G04270, AT5G09510, AT5G09490, AT5G43640, AT5G09500"
OG0001525,Mp5g12560.1,"AT3G46510, AT3G54850"
OG0001526,Mp1g01680.1,"AT3G51830, AT3G51460, AT5G66020"
OG0001528,Mp5g02250.1,"AT3G12390, AT5G13850, AT3G49470"
OG0001529,Mp8g07320.1,"AT5G17060, AT3G03120"
OG0001530,"Mp3g07760.1, Mp2g09600.1","AT3G47370, AT5G62300, AT3G45030"
OG0001531,"Mp1g03990.2, Mp1g03990.1","AT5G60930, AT3G50240, AT5G47820"
OG0001532,"Mp7g14250.1, Mp7g14260.2, Mp7g14260.1, Mp3g16610.2, Mp3g16610.1",AT3G22430
OG0001533,Mp1g10680.1,"AT5G28060, AT3G04920"
OG0001534,Mp5g18740.1,"AT3G19610, AT3G14170"
OG0001536,Mp6g03460.1,"AT3G01930, AT5G14120"
OG0001537,Mp4g23890.1,AT3G14280
OG0001538,Mp5g03810.1,"AT3G45780, AT5G58140"
OG0001539,"Mp5g12880.1, Mp5g12880.2","AT3G26890, AT5G41110"
OG0001540,Mp4g19870.1,"AT5G55830, AT3G53380, AT5G03140"
OG0001541,Mp8g15410.1,"AT5G62460, AT3G47550"
OG0001542,Mp3g01840.1,"AT3G28480, AT3G28490"
OG0001543,Mp7g00600.1,"AT3G02770, AT5G16450, AT5G56260"
OG0001544,"Mp1g13620.1, Mp1g13620.3, Mp1g13620.2","AT3G63340, AT3G63320"
OG0001546,"Mp7g12640.3, Mp7g12640.8, Mp7g12640.7, Mp7g12640.6, Mp7g12640.5, Mp7g12640.4, Mp7g12640.1, Mp7g12640.2",AT3G03380
OG0001547,Mp3g08770.1,"AT3G01015, AT5G15510"
OG0001548,"Mp5g03560.3, Mp5g03560.2, Mp5g03560.1, Mp2g20050.1, Mp2g20050.2","AT3G05120, AT5G27320, AT3G63010"
OG0001549,"Mp2g19840.4, Mp2g19840.3, Mp2g19840.1, Mp2g19840.2, Mp2g19840.6, Mp2g19840.5, Mp2g19840.8, Mp2g19840.7",AT3G20475
OG0001551,Mp6g11310.1,"AT5G53480, AT3G08947, AT3G08943"
OG0001552,Mp1g27850.1,"AT3G13224, AT5G40490"
OG0001554,Mp1g19020.1,"AT3G01280, AT5G15090"
OG0001555,Mp1g29240.1,AT3G25400
OG0001556,"Mp6g18490.5, Mp6g18490.9, Mp6g18490.8, Mp6g18490.1, Mp6g18490.4, Mp6g18490.2, Mp6g18490.7, Mp6g18490.6, Mp6g18490.3",AT3G54280
OG0001557,Mp2g10180.1,"AT5G37680, AT3G49870, AT5G67560"
OG0001558,Mp7g06360.1,AT3G11950
OG0001559,Mp2g11670.1,"AT5G18170, AT3G03910, AT5G07440"
OG0001560,"Mp5g05390.1, Mp5g10880.1, Mp5g05460.1, Mp5g05450.1, Mp5g05430.1",AT3G46550
OG0001561,"Mp1g14120.1, Mp1g14120.8, Mp1g14120.3, Mp1g14120.2, Mp1g14120.4, Mp1g14120.7, Mp1g14120.6, Mp1g14120.5","AT5G24450, AT3G49410"
OG0001562,"Mp1g12720.1, Mp4g23710.1","AT5G41220, AT5G41240, AT5G41210"
OG0001563,"Mp7g18230.3, Mp7g18230.2, Mp7g18230.4, Mp7g18230.1",AT5G62810
OG0001564,"Mp5g22980.2, Mp5g22980.1, Mp5g22980.4, Mp5g22980.3",AT5G16950
OG0001566,"Mp3g17850.3, Mp3g17850.5, Mp3g17850.2, Mp3g17850.4, Mp3g17850.1","AT5G64920, AT5G01980"
OG0001567,Mp6g19580.1,"AT5G64300, AT5G59750"
OG0001568,"Mp5g14100.2, Mp5g14100.1","AT5G28850, AT5G28900"
OG0001569,Mp2g25020.1,AT5G47900
OG0001570,"Mp8g07170.1, Mp5g23660.1","AT5G27920, AT5G01720"
OG0001571,"Mp2g13480.1, Mp2g13480.3, Mp2g13480.7, Mp2g13480.4, Mp2g13480.8, Mp2g13480.5, Mp2g13480.6, Mp2g13480.2",AT5G57370
OG0001572,Mp2g15450.1,"AT5G08670, AT5G08690, AT5G08680"
OG0001573,Mp4g17550.1,AT5G54310
OG0001574,"Mp4g12820.1, Mp4g12820.2, Mp4g12820.4, Mp4g12820.3","AT5G12960, AT5G12950"
OG0001575,"MpUg00410.3, MpUg00410.1, MpUg00410.2",AT5G47650
OG0001578,Mp5g05140.1,"AT5G15100, AT5G16530"
OG0001579,"Mp6g05520.2, Mp6g05520.1",AT5G11680
OG0001581,"Mp3g01050.2, Mp3g01050.3, Mp3g01050.4, Mp3g01050.5, Mp3g01050.6, Mp3g01050.1, Mp3g01050.7",AT5G50840
OG0001582,Mp3g23970.1,AT5G14040
OG0001594,Mp4g04010.1,ATCG00150
OG0001596,Mp4g09260.1,"AT1G21160, AT1G76810, AT1G76720, AT1G76820, AT2G27700"
