a,b,d,T,a_OCR,AverageShortestPathLength,b_OCR,BetweennessCentrality,ClosenessCentrality,cluster,ClusteringCoefficient,D_HS a,D_HS b,D_HS d,D_HS T,d_OCR,Degree,description,dko_HS,dko_HS_oc,Eccentricity,family,hsfa_HS,hsfa_HS_oc,hsfb_HS,hsfb_HS_oc,IsSingleNode,Matching.Attribute,Matching.Attribute.1,Matching.Attribute.2,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,OCR_to_TSS,PartnerOfMultiEdgedNodePairs,Peak,Radiality,selected,SelfLoops,shared name,Stress,T_OCR,Tak1_HS,Tak1_HS_oc,TF,TopologicalCoefficient,U_HS a,U_HS b,U_HS d,U_HS T
,U,,,,4.7005347593582885,,0,0.21274175199089876,C4,0,,,,,,1,,0.203109867,,8,,1.158932631,,0.278355578,,FALSE,Mp6g14830,Mp6g14830,Mp6g14830,Mp6g14830,46,0,1,,0,,0.965735789,FALSE,0,Mp6g14830,0,,1.214211106,,,0,,,,
D,D,U,D,,4.466577540106952,,4.6558396360669004E-4,0.2238850643519904,C1,0,,,,,,2,,1.103196019,,7,,-0.025797397,,-0.963729852,,FALSE,Mp4g01890,Mp4g01890,Mp4g01890,Mp4g01890,45.5,0,2,,0,,0.9679020598138245,FALSE,0,Mp4g01890,23124,,-0.917664686,,,0.5174418604651163,,,,
D,U,D,U,,3.6524064171122994,,0.004420822,0.27379209370424595,C2,0,,,,,,4,,-1.067693382,,7,,-0.924292058,,1.62369322,,FALSE,Mp6g20450,Mp6g20450,Mp6g20450,Mp6g20450,65,0,4,,0,,0.9754406813230342,FALSE,0,Mp6g20450,135966,,1.416498361,,,0.2782608695652174,,,,
,,U,,,4.2894385026737964,,2.0606116402545936E-5,0.23313074645472964,C4,0.6666666666666666,,,,,,3,,2.192628127,,7,,0.540225998,,-0.630863809,,FALSE,Mp5g02750,Mp5g02750,Mp5g02750,Mp5g02750,67.66666666666667,0,3,,0,,0.9695422360863538,FALSE,0,Mp5g02750,1932,,0.929917483,,,0.48333333333333334,,,,
,U,,U,,5.137032085561497,up,0,0.19466493168510085,C2,0,,,,,,1,,-0.510810295,-0.949500801,9,,-0.811345776,-0.876036653,1.175620097,1.838358523,FALSE,Mp3g11790,Mp3g11790,Mp3g11790,Mp3g11790,9,0,1,3' UTR,0,chr3.11445779.11446719,0.9616941473559121,FALSE,0,Mp3g11790,0,up,1.724865498,1.427131879,,0,,,,
,,U,,,4.124331550802139,,1.1671846151208121E-4,0.24246353322528363,C4,0,,,,,,2,,1.459175859,,7,,0.052824957,,0.297948362,,FALSE,Mp1g21950,Mp1g21950,Mp1g21950,Mp1g21950,38,0,2,,0,,0.9710710041592394,FALSE,0,Mp1g21950,1464,,1.053084848,,,0.5068493150684932,,,,
U,,U,U,,3.8442513368983957,,0.001882223,0.2601286732742132,C4,0.16666666666666666,,,,,,4,,0.909755632,,7,,0.812465411,,-0.039883126,,FALSE,Mp2g09970,Mp2g09970,Mp2g09970,Mp2g09970,23.75,0,4,,0,,0.973664339,FALSE,0,Mp2g09970,32524,,0.603704793,,,0.2703488372093023,,,,
,,D,,up,3.747994652406417,,4.775862682996243E-4,0.26680934546103086,C6,0,,,,,,3,,-1.127564179,0.66373051,7,,0.640463837,1.054803316,-0.840044818,0.540034423,FALSE,Mp4g13940,Mp4g13940,Mp4g13940,Mp4g13940,40.333333333333336,0,3,3' UTR,0,chr4.16067691.16067793,0.9745556050703109,FALSE,0,Mp4g13940,11156,,-1.34586605,-0.758056756,,0.3746031746031746,,,,
,,U,U,,4.063502673796791,,0,0.24609310741898338,C4,1,,,,,,2,,1.720361368,,7,,0.253882147,,-0.383688665,,FALSE,Mp1g10610,Mp1g10610,Mp1g10610,Mp1g10610,68.5,0,2,,0,,0.9716342345018816,FALSE,0,Mp1g10610,0,,0.458343873,,,0.6061946902654868,,,,
,U,U,,,5.741978609625669,,0,0.17415599534342258,C8,0,,,,,,1,,0.712229492,,9,,-0.499295129,,1.038297257,,FALSE,Mp4g22420,Mp4g22420,Mp4g22420,Mp4g22420,25,0,1,,0,,0.9560927906516141,FALSE,0,Mp4g22420,0,,-0.505952891,,,0,,,,
U,,,,,4.429144385026738,,0,0.225777241,C5,0,,,,,,1,,-0.270805261,,7,,2.222320798,,-0.967895161,,FALSE,Mp4g15450,Mp4g15450,Mp4g15450,Mp4g15450,24,0,1,,0,,0.9682486631016043,FALSE,0,Mp4g15450,0,,0.470844555,,,0,,,,
D,,,,up,4.437165775,up,0,0.225369087,C1,1,,,,,up,2,,-0.144384796,0.760971213,8,,-1.280569051,0.706644557,-0.241763161,1.664557016,FALSE,Mp8g03330,Mp8g03330,Mp8g03330,Mp8g03330,40,0,2,3' UTR,0,chr8.3578847.3579032,0.9681743909685087,FALSE,0,Mp8g03330,0,,-0.350480186,0.609990629,,0.5882352941176471,,,,
,U,,,,5.594251336898396,,4.058132288286742E-4,0.17875492890428962,C7,0.3333333333333333,,,,,,3,,0.501752232,,9,,0.56225731,,0.700404608,,FALSE,Mp2g09820,Mp2g09820,Mp2g09820,Mp2g09820,12,0,3,,0,,0.9574606357694593,FALSE,0,Mp2g09820,6894,,-1.791528363,,,0.3763440860215054,,,,
,U,,U,,3.752005347593583,up,0.00110923,0.2665241403883841,C3,0.16666666666666666,,,,,,4,,-0.454378152,-0.043841946,7,,-0.064429935,0.524864851,1.043484841,1.210022736,FALSE,Mp7g11930,Mp7g11930,Mp7g11930,Mp7g11930,40.25,0,4,3' UTR,0,chr7.13271248.13273653,0.9745184690037632,FALSE,0,Mp7g11930,42034,up,1.493085419,1.184959835,,0.27413793103448275,,,,
,D,,D,,4.227941176470588,,0,0.2365217391304348,C1,0,,,,,,1,,-0.608459533,,7,,1.779752711,,-1.969303247,,FALSE,Mp6g15640,Mp6g15640,Mp6g15640,Mp6g15640,43,0,1,,0,,0.9701116557734204,FALSE,0,Mp6g15640,0,,-0.681800706,,,0,,,,
,,,D,,4.010026737967914,,0,0.24937489581596933,C6,1,,,,,,2,,-0.240357993,,7,,-0.969158083,,0.095469713,,FALSE,Mp3g20680,Mp3g20680,Mp3g20680,Mp3g20680,65.5,0,2,,0,,0.9721293820558526,FALSE,0,Mp3g20680,0,,-1.438977127,,,0.5550847457627118,,,,
U,,,,,3.929144385026738,,3.474561142693808E-5,0.2545083361687649,C3,0.6666666666666666,,,,,,3,,0.212104662,,6,,2.097328848,,1.368267707,,FALSE,Mp4g07630,Mp4g07630,Mp4g07630,Mp4g07630,63,0,3,,0,,0.9728782927312339,FALSE,0,Mp4g07630,1282,,-0.163853422,,,0.41721854304635764,,,,
,,U,,,5.741978609625669,,0,0.17415599534342258,C7,0,,,,,,1,,1.244496028,,9,,0.295826128,,-0.511665773,,FALSE,Mp7g19220,Mp7g19220,Mp7g19220,Mp7g19220,25,0,1,,0,,0.9560927906516141,FALSE,0,Mp7g19220,0,,-1.308877852,,,0,,,,
D,D,D,D,,4.608288770053476,,0,0.2170002901073397,C6,0,,,,,,1,,-1.107160773,,7,,-0.460681539,,-0.397994562,,FALSE,Mp3g09800,Mp3g09800,Mp3g09800,Mp3g09800,36,0,1,,0,,0.9665899187958011,FALSE,0,Mp3g09800,0,,-1.330903469,,,0,,,,
,D,,D,up,4.2894385026737964,up,0.003174946,0.23313074645472964,C1,0,,,,,up,7,"SQUAMOSA PROMOTER BINDING-LIKE, transcription factor",0.002474418,1.530351703,8,SPL,0.206530459,0.7962165,-0.965388743,0.334334016,FALSE,Mp1g10030,Mp1g10030,Mp1g10030,Mp1g10030,7.857142857142857,0,7,"Exon (Mp1g10030.1/Mp1g10030, exon 3 of 3)",0,chr1.10390828.10391343,0.9695422360863538,FALSE,0,Mp1g10030,58960,up,-1.692765476,0.300745813,MpSPL2,0.1458966565349544,,,,
,U,U,,,4.451871657754011,,0,0.22462462462462462,C8,0,,,,,,1,,0.907255774,,8,,-0.245437653,,2.201887237,,FALSE,Mp1g22130,Mp1g22130,Mp1g22130,Mp1g22130,53,0,1,,0,,0.9680382253911666,FALSE,0,Mp1g22130,0,,-0.911351804,,,0,,,,
,U,,U,,4.314839572192513,,3.496751801894327E-4,0.23175832687838888,C2,0,,,,,,2,,-0.563633425,,8,,-0.130011803,,0.93706162,,FALSE,Mp1g25680,Mp1g25680,Mp1g25680,Mp1g25680,26.5,0,2,,0,,0.9693070409982175,FALSE,0,Mp1g25680,4608,,1.532242939,,,0.5,,,,
D,,,,,4.973262032085562,,0.00188944,0.20107526881720428,C8,0,,,,,,2,,0.332062099,,8,,-2.081149014,,1.106934506,,FALSE,Mp4g06040,Mp4g06040,Mp4g06040,Mp4g06040,21,0,2,,0,,0.9632105367399485,FALSE,0,Mp4g06040,32282,,-0.525424392,,,0.5,,,,
U,U,U,U,,3.4926470588235294,up,5.111117307343094E-4,0.2863157894736842,C2,0,,,,,,2,,-0.274936205,-0.660312099,7,,0.308960085,-0.787704031,0.737967579,1.869788583,FALSE,Mp4g12890,Mp4g12890,Mp4g12890,Mp4g12890,58.5,0,2,"Exon (Mp4g12890.1/Mp4g12890, exon 4 of 10)",0,chr4.14393704.14394419,0.9769199346405228,FALSE,0,Mp4g12890,18324,up,1.809604034,1.253214021,,0.5227272727272727,,,,
U,D,D,D,,5.791443850267379,,0,0.172668513,C5,0,,,,,,1,,-0.765980178,,9,,2.3391375,,-1.133816538,,FALSE,Mp5g16220,Mp5g16220,Mp5g16220,Mp5g16220,8,0,1,,0,,0.9556347791641909,FALSE,0,Mp5g16220,0,,-1.485019026,,,0,,,,
,U,D,,,4.112967914438503,,0.004426827,0.2431334308467414,C2,0,,,,,,3,,-1.847985122,,7,,0.434529235,,0.677113259,,FALSE,Mp8g04750,Mp8g04750,Mp8g04750,Mp8g04750,31,0,3,,0,,0.9711762230144584,FALSE,0,Mp8g04750,163440,,1.22470639,,,0.3614457831325301,,,,
,,D,,down,6.705213903743315,,0,0.14913767321303958,C2,0,,,,,,1,,-1.834402358,-0.396811062,9,,-0.424998248,-0.855480338,0.806472313,0.738260015,FALSE,Mp4g19780,Mp4g19780,Mp4g19780,Mp4g19780,10,0,1,3' UTR,0,chr4.22433158.22433337,0.9471739453357101,FALSE,0,Mp4g19780,0,,0.78381534,-0.582645838,,0,,,,
,D,,,,6.705213903743315,,0,0.14913767321303958,C1,0,,,,,,1,,0.509259475,,9,,0.503492369,,-2.081132463,,FALSE,Mp5g23540,Mp5g23540,Mp5g23540,Mp5g23540,10,0,1,,0,,0.9471739453357101,FALSE,0,Mp5g23540,0,,-0.037402961,,,0,,,,
,,U,,,3.660427807486631,,0.032531252,0.27319211102994884,C7,0.003565062,,,,,,34,"transcription factor, bHLH",2.454596864,,7,bHLH,0.81760922,,-1.199780865,,FALSE,Mp5g18910,Mp5g18910,Mp5g18910,Mp5g18910,3.2058823529411766,0,34,,0,,0.9753664091899387,FALSE,0,Mp5g18910,553340,,-0.727931884,,MpBHLH40,0.040966387,,,,
D,,D,,,3.6831550802139037,,0,0.2715063520871143,C1,1,,,,,,2,,-0.966771923,,7,,-0.801978016,,-0.862516618,,FALSE,Mp4g19600,Mp4g19600,Mp4g19600,Mp4g19600,70,0,2,,0,,0.9751559714795008,FALSE,0,Mp4g19600,0,,-0.576916779,,,0.5185185185185185,,,,
,D,,,,6.807486631016043,,4.4712320927154684E-7,0.14689709347996857,C1,0,,,,,,2,"transcription factor, WRKY",0.201980647,,10,WRKY,0.024612899,,-2.710341331,,FALSE,Mp7g17200,Mp7g17200,Mp7g17200,Mp7g17200,2,0,2,,0,,0.9462269756387403,FALSE,0,Mp7g17200,2,,0.740149398,,MpWRKY9,1,,,,
,U,,,down,4.860294117647059,,0,0.20574886535552192,C3,0,,,,,,1,,-0.513833183,-1.09984127,8,,-0.605611758,-1.210501841,2.022244692,0.614887328,FALSE,Mp1g11420,Mp1g11420,Mp1g11420,Mp1g11420,11,0,1,Promoter,0,chr1.11717309.11717462,0.9642565359477124,FALSE,0,Mp1g11420,0,,1.404622953,0.379714766,,0,,,,
U,,,U,,4.530748663101604,,0,0.22071407494836237,C4,0,,,,,,1,,0.61661253,,7,,1.769324263,,-0.608785888,,FALSE,Mp5g22790,Mp5g22790,Mp5g22790,Mp5g22790,44,0,1,,0,,0.9673078827490592,FALSE,0,Mp5g22790,0,,1.207521194,,,0,,,,
,,,U,,3.5995989304812834,,0.004051393,0.2778087279480037,C2,0.2,,,,,,6,,-0.39207831,,7,,-0.516359978,,0.467243659,,FALSE,Mp7g14110,Mp7g14110,Mp7g14110,Mp7g14110,43.166666666666664,0,6,,0,,0.9759296395325807,FALSE,0,Mp7g14110,46706,,1.983738551,,,0.20792880258899676,,,,
U,U,U,U,,4.386363636363637,,0,0.22797927461139894,C3,0,,,,,,1,,1.433709163,,7,,-0.205268454,,0.68360046,,FALSE,Mp7g18430,Mp7g18430,Mp7g18430,Mp7g18430,15,0,1,,0,,0.9686447811447811,FALSE,0,Mp7g18430,0,,0.884828019,,,0,,,,
,,U,,,3.7018716577540105,,5.458534229130351E-4,0.27013362224629833,C4,0.5,,,,,,4,,1.326698758,,7,,0.491576072,,0.019588912,,FALSE,Mp2g07210,Mp2g07210,Mp2g07210,Mp2g07210,60.25,0,4,,0,,0.97498267,FALSE,0,Mp2g07210,27178,,1.171560216,,,0.31413612565445026,,,,
,U,,,,3.8636363636363638,,2.5255972493349227E-4,0.2588235294117647,C3,0,,,,,,2,,0.617920388,,7,,-0.303055438,,1.496330509,,FALSE,Mp3g20780,Mp3g20780,Mp3g20780,Mp3g20780,42,0,2,,0,,0.9734848484848485,FALSE,0,Mp3g20780,6066,,1.105507769,,,0.5061728395061729,,,,
,U,U,,down,4.451871657754011,down,0,0.22462462462462462,C7,0,,,,,down,1,,0.476913899,-1.138055705,8,,-1.05789128,-1.066834761,1.548543527,-1.177555635,FALSE,Mp3g19350,Mp3g19350,Mp3g19350,Mp3g19350,53,0,1,Promoter,0,chr3.19901851.19902203,0.9680382253911666,FALSE,0,Mp3g19350,0,,-0.774311992,-0.311107452,,0,,,,
U,,,,,4.429812834224599,,0,0.22574317187264223,C5,0,,,,,,1,,-0.505188141,,8,,1.943329617,,-0.509215149,,FALSE,Mp2g22390,Mp2g22390,Mp2g22390,Mp2g22390,17,0,1,,0,,0.9682424737571795,FALSE,0,Mp2g22390,0,,0.98534033,,,0,,,,
,D,,,,3.234625668449198,,0.020663856,0.30915478404629054,C1,0.075,,,,,,16,"transcription factor, HD",0.205243274,,6,HD,-0.443696259,,-1.337700139,,FALSE,Mp7g09710,Mp7g09710,Mp7g09710,Mp7g09710,18.125,0,16,,0,,0.9793090215884334,FALSE,0,Mp7g09710,322100,,-0.580008304,,MpHD18,0.074479167,,,,
,U,,,,6.034759358,,0,0.16570669029685423,C3,0,,,,,,1,,1.49127635,,10,,-0.462449364,,1.154703806,,FALSE,Mp7g01840,Mp7g01840,Mp7g01840,Mp7g01840,6,0,1,,0,,0.9533818577936225,FALSE,0,Mp7g01840,0,,-0.243056064,,,0,,,,
,,,U,,4.042780748663102,,0,0.24735449735449735,C2,1,,,,,,2,,-0.247143097,,7,,0.383449863,,0.599088148,,FALSE,Mp3g19570,Mp3g19570,Mp3g19570,Mp3g19570,48,0,2,,0,,0.9718261041790454,FALSE,0,Mp3g19570,0,,1.701515717,,,0.5647058823529412,,,,
,U,,U,down,5.137032085561497,up,0,0.19466493168510085,C2,0,,,,,,1,,-0.3128724,-1.199023644,9,,-0.920255592,-1.398090068,1.327087383,1.327058878,FALSE,Mp6g14300,Mp6g14300,Mp6g14300,Mp6g14300,9,0,1,Promoter,0,chr6.15564599.15564770,0.9616941473559121,FALSE,0,Mp6g14300,0,up,1.637092064,0.908599869,,0,,,,
D,D,D,D,,3.728609625668449,,1.659478337681866E-4,0.2681964861957691,C1,0.3333333333333333,,,,,,3,,-0.537069067,,7,,-0.803502094,,-1.252542889,,FALSE,Mp5g07500,Mp5g07500,Mp5g07500,Mp5g07500,69,0,3,,0,,0.9747350960586254,FALSE,0,Mp5g07500,5460,,-0.798883065,,,0.3923809523809524,,,,
D,D,,D,down,3.860294117647059,,5.766465285910935E-4,0.259047619,C1,0,,,,,,3,,-0.384163691,1.295419262,7,,-0.43829949,-1.199667431,-1.002637671,0.38194182,FALSE,Mp3g14440,Mp3g14440,Mp3g14440,Mp3g14440,58.666666666666664,0,3,Promoter,0,chr3.14095967.14096056,0.9735157952069717,FALSE,0,Mp3g14440,9780,,-1.212074359,-0.909902525,,0.3581780538302277,,,,
D,,,,,4.429144385026738,,0,0.225777241,C7,0,,,,,,1,,0.744088384,,7,,-1.554240255,,0.8334912,,FALSE,Mp3g22240,Mp3g22240,Mp3g22240,Mp3g22240,24,0,1,,0,,0.9682486631016043,FALSE,0,Mp3g22240,0,,-0.3855701,,,0,,,,
U,,,,,5.199197860962567,,0,0.19233736178966315,C5,0,,,,,,1,,-0.384565569,,9,,1.865852925,,0.667730341,,FALSE,Mp4g02130,Mp4g02130,Mp4g02130,Mp4g02130,19,0,1,,0,,0.9611185383244206,FALSE,0,Mp4g02130,0,,-1.103899636,,,0,,,,
,D,,,,4.451871657754011,,0,0.22462462462462462,C1,0,,,,,,1,,-0.226910183,,8,,0.422157943,,-0.956759323,,FALSE,Mp6g00790,Mp6g00790,Mp6g00790,Mp6g00790,53,0,1,,0,,0.9680382253911666,FALSE,0,Mp6g00790,0,,0.303517338,,,0,,,,
U,D,D,D,,4.534759358,,0.001114069,0.2205188679245283,C6,0,,,,,,2,,-1.234700131,,7,,1.569527509,,-0.929280653,,FALSE,Mp8g08710,Mp8g08710,Mp8g08710,Mp8g08710,36,0,2,,0,,0.9672707466825115,FALSE,0,Mp8g08710,15022,,-1.045686468,,,0.5,,,,
D,,D,D,,3.5066844919786098,,0.003144953,0.28516965306900494,C6,0.3,,,,,,5,,-0.622967412,,6,,-0.701190649,,-0.10745936,,FALSE,Mp2g07060,Mp2g07060,Mp2g07060,Mp2g07060,53.8,0,5,,0,,0.9767899584076055,FALSE,0,Mp2g07060,84030,,-1.524486854,,,0.24017857142857144,,,,
D,D,,D,,4.434491978609626,,3.7740980642605396E-4,0.22550497437443473,C1,0.3333333333333333,,,,,,3,,-0.429658006,,8,,0.374834185,,-1.941661691,,FALSE,Mp4g13500,Mp4g13500,Mp4g13500,Mp4g13500,28,0,3,,0,,0.9681991483462071,FALSE,0,Mp4g13500,17968,,-0.840901367,,,0.40096618357487923,,,,
,U,,,,4.3810160427807485,,0,0.2282575526396094,C3,0,,,,,,1,,-0.879115526,,7,,0.681648209,,1.743152692,,FALSE,Mp3g12640,Mp3g12640,Mp3g12640,Mp3g12640,25,0,1,,0,,0.9686942959001783,FALSE,0,Mp3g12640,0,,0.614468818,,,0,,,,
,D,,D,,4.515374331550802,,0,0.22146558105107328,C1,0,,,,,,1,,0.216637208,,8,,-0.811894159,,-1.550110703,,FALSE,Mp1g20090,Mp1g20090,Mp1g20090,Mp1g20090,64,0,1,,0,,0.9674502376708259,FALSE,0,Mp1g20090,0,,-1.19666593,,,0,,,,
,D,D,D,,4.386363636363637,,0,0.22797927461139894,C1,0,,,,,,1,,-1.475419497,,7,,0.340119402,,-1.209236753,,FALSE,Mp3g02160,Mp3g02160,Mp3g02160,Mp3g02160,15,0,1,,0,,0.9686447811447811,FALSE,0,Mp3g02160,0,,-0.986578529,,,0,,,,
U,U,U,U,,4.432486631016043,,0,0.22560699743628412,C4,1,,,,,,2,,1.840100159,,7,,0.577805903,,-0.31578364,,FALSE,Mp1g07390,Mp1g07390,Mp1g07390,Mp1g07390,56,0,2,,0,,0.9682177163794811,FALSE,0,Mp1g07390,0,,1.098462844,,,0.6588235294117647,,,,
D,,U,,,4.389037433,,0,0.2278403898872982,C7,0,,,,,,1,,1.49286984,,7,,-1.045507188,,0.084862569,,FALSE,Mp1g17670,Mp1g17670,Mp1g17670,Mp1g17670,24,0,1,,0,,0.9686200237670826,FALSE,0,Mp1g17670,0,,0.444363158,,,0,,,,
D,,,,,3.8629679144385025,,0.001448606,0.258868316,C1,0.3333333333333333,,,,,,3,,0.249649628,,6,,-1.933381499,,2.17439291367582E-4,,FALSE,Mp4g23890,Mp4g23890,Mp4g23890,Mp4g23890,67.66666666666667,0,3,,0,,0.9734910378292732,FALSE,0,Mp4g23890,23294,,0.367404335,,,0.4488888888888889,,,,
U,U,,U,,3.7747326203208558,,9.837987618065086E-5,0.26491942624402337,C3,0.6666666666666666,,,,,,3,,0.334286848,,7,,0.319568403,,1.260796086,,FALSE,Mp4g18300,Mp4g18300,Mp4g18300,Mp4g18300,74.33333333333333,0,3,,0,,0.9743080312933253,FALSE,0,Mp4g18300,4072,,1.118768247,,,0.3953900709219858,,,,
,,U,,up,4.201203209,up,7.754956937478611E-4,0.23802704852824186,C4,0.13970588235294118,,,,,up,18,"transcription factor, Trihelix",1.604369092,0.935815366,7,Trihelix,-0.283585047,1.076229447,-0.429972803,1.093348079,FALSE,Mp3g18590,Mp3g18590,Mp3g18590,Mp3g18590,10.588235294117647,0,18,3' UTR,1,chr3.19034479.19034571,0.97035923,FALSE,0,Mp3g18590,18808,up,1.430061904,0.326751475,MpTRIHELIX32,0.11506140917905623,,,,
U,U,,,down,4.148395721925134,,9.67962134742996E-5,0.2410570415726716,C4,0,,,,,,2,,0.391512099,-0.289731949,7,,1.870763299,-1.037921322,0.11680851,0.693480307,FALSE,Mp7g00970,Mp7g00970,Mp7g00970,Mp7g00970,64,0,2,"Intron (Mp7g00970.1/Mp7g00970, intron 9 of 10)",0,chr7.1204822.1205117,0.9708481877599524,FALSE,0,Mp7g00970,8460,,0.66169417,-0.598937907,,0.5384615384615384,,,,
U,,,,,3.7393048128342246,,7.778459437673444E-4,0.2674293886306757,C4,0,,,,,,2,,0.29946735,,7,,1.227990051,,-0.136481625,,FALSE,Mp6g18550,Mp6g18550,Mp6g18550,Mp6g18550,85.5,0,2,,0,,0.9746360665478313,FALSE,0,Mp6g18550,20390,,1.380054864,,,0.5121212121212121,,,,
D,,,,,4.255347593582887,,0,0.23499842915488536,C1,0,,,,,,1,,0.324479268,,7,,-2.276968317,,-0.145688669,,FALSE,Mp8g03180,Mp8g03180,Mp8g03180,Mp8g03180,97,0,1,,0,,0.9698578926520104,FALSE,0,Mp8g03180,0,,0.499782493,,,0,,,,
D,D,D,D,,4.451871657754011,,0,0.22462462462462462,C1,0,,,,,,1,,-0.542956391,,8,,0.261989063,,-1.345523927,,FALSE,Mp1g25080,Mp1g25080,Mp1g25080,Mp1g25080,53,0,1,,0,,0.9680382253911666,FALSE,0,Mp1g25080,0,,0.422178439,,,0,,,,
D,,,,,3.6303475935828877,,0.003000462,0.2754557171791567,C1,0.3,,,,,,5,,0.82133557,,6,,-1.033115139,,-1.275525384,,FALSE,Mp7g06170,Mp7g06170,Mp7g06170,Mp7g06170,66.4,0,5,,0,,0.9756449296890474,FALSE,0,Mp7g06170,93538,,-0.741688215,,,0.28695652173913044,,,,
,,D,,,5.491978609625669,,0,0.18208373904576436,C2,0,,,,,,1,,-1.757533575,,8,,0.22352345,,0.494668359,,FALSE,Mp3g23840,Mp3g23840,Mp3g23840,Mp3g23840,12,0,1,,0,,0.9584076054664289,FALSE,0,Mp3g23840,0,,0.628829745,,,0,,,,
D,D,,,,4.520053475935829,,0,0.22123632061520257,C1,0,,,,,,1,,0.966980404,,7,,-0.877900011,,-1.666940257,,FALSE,Mp6g17270,Mp6g17270,Mp6g17270,Mp6g17270,79,0,1,,0,,0.9674069122598534,FALSE,0,Mp6g17270,0,,-0.325694702,,,0,,,,
U,U,D,U,,3.959224598930481,up,0.001673214,0.25257470876245147,C2,0,,,,,,4,,-0.767965546,-0.716046678,7,,-0.504030961,-0.807216644,1.208909304,1.460543356,FALSE,Mp2g08350,Mp2g08350,Mp2g08350,Mp2g08350,34,0,4,"Exon (Mp2g08350.1/Mp2g08350, exon 1 of 1)",0,chr2.8752107.8752900,0.9725997722321252,FALSE,0,Mp2g08350,32044,up,1.578303371,1.381895394,,0.2682926829268293,,,,
,U,U,,,5.182486631016043,up,0,0.19295756481362053,C7,0,,,,,,1,,1.809672524,0.009229384,9,,-0.39935439,0.126899776,1.391340915,2.026076102,FALSE,Mp3g14660,Mp3g14660,Mp3g14660,Mp3g14660,30,0,1,"Exon (Mp3g14660.1/Mp3g14660, exon 8 of 8)",0,chr3.14281867.14281990,0.9612732719350366,FALSE,0,Mp3g14660,0,up,-0.56836103,1.413805594,,0,,,,
,D,D,D,,3.909759358,,3.457573030081862E-5,0.2557702171311335,C6,0.6666666666666666,,,,,,3,,-0.555966263,,7,,-0.396766792,,-1.074116363,,FALSE,Mp4g11020,Mp4g11020,Mp4g11020,Mp4g11020,55,0,3,,0,,0.9730577837195484,FALSE,0,Mp4g11020,3828,,-0.526206222,,,0.44715447154471544,,,,
D,,,,,6.044117647058823,,0,0.1654501216545012,C8,0,,,,,,1,,0.198406761,,9,,-2.06197684,,1.218305424,,FALSE,Mp4g05980,Mp4g05980,Mp4g05980,Mp4g05980,9,0,1,,0,,0.9532952069716776,FALSE,0,Mp4g05980,0,,-0.467397744,,,0,,,,
U,,,,down,4.465909090909091,down,2.5028898042970453E-4,0.22391857506361323,C5,0,,,,,,2,,-0.037412353,-0.241038808,8,,2.444604684,-0.964392686,-0.383600976,-1.271096287,FALSE,Mp1g28310,Mp1g28310,Mp1g28310,Mp1g28310,34,0,2,Promoter,0,chr1.28693184.28693431,0.9679082491582491,FALSE,0,Mp1g28310,7796,,0.580862303,-1.039779964,,0.515625,,,,
U,,U,,,1,,0,1,C7,0,,,,,,1,"transcription factor, bHLH",2.017968645,,1,bHLH,1.923658368,,-1.324298079,,FALSE,Mp3g11900,Mp3g11900,Mp3g11900,Mp3g11900,1,0,1,,0,,1,FALSE,0,Mp3g11900,0,,-0.314107878,,MpBHLH21,0,,,,
,D,D,D,,4.377005347593583,,1.957381166126348E-4,0.22846670739156993,C2,0.6666666666666666,,,,,,3,,-1.288091789,,8,,0.400252704,,-0.547343406,,FALSE,Mp7g05750,Mp7g05750,Mp7g05750,Mp7g05750,34.333333333333336,0,3,,0,,0.9687314319667261,FALSE,0,Mp7g05750,2254,,0.304808993,,,0.4087301587301587,,,,
U,,,,,1,,0,1,C5,0,,,,,,1,"transcription factor, bHLH",-0.714641635,,1,bHLH,2.670032918,,-0.923053455,,FALSE,Mp2g00910,Mp2g00910,Mp2g00910,Mp2g00910,1,0,1,,0,,1,FALSE,0,Mp2g00910,0,,-0.399003005,,MpBHLH3,0,,,,
,,D,,,3.971925134,,0.00101702,0.2517670817906429,C6,0.3333333333333333,,,,,,3,,-0.973708581,,7,,-0.879409455,,-0.256903087,,FALSE,Mp6g11030,Mp6g11030,Mp6g11030,Mp6g11030,46.666666666666664,0,3,,0,,0.9724821746880571,FALSE,0,Mp6g11030,37986,,-1.030686575,,,0.3861111111111111,,,,
,U,,U,,3.9872994652406417,up,0.004499548,0.25079631181894385,C2,0.16666666666666666,,,,,,4,,-0.382061757,-0.681299275,7,,-0.745578685,-0.574633144,1.115045938,1.663848598,FALSE,Mp6g20700,Mp6g20700,Mp6g20700,Mp6g20700,36.25,0,4,Promoter,0,chr6.23014005.23014289,0.9723398197662904,FALSE,0,Mp6g20700,64456,up,1.706163555,1.597225283,,0.2837301587301587,,,,
,,D,D,,3.640374331550802,,0.001840975,0.27469702533969886,C6,0,,,,,,3,,-0.719310944,,7,,-0.550054519,,0.106024991,,FALSE,Mp1g15480,Mp1g15480,Mp1g15480,Mp1g15480,59.333333333333336,0,3,,0,,0.9755520895226778,FALSE,0,Mp1g15480,51230,,-1.345599559,,,0.3472222222222222,,,,
