Matching.Attribute,name,shared name,TF,family,description, T, a, b, d,Tak1_HS,hsfa_HS,hsfb_HS,dko_HS,Peak,cluster,OCR_to_TSS,T_OCR,a_OCR,b_OCR,d_OCR,Tak1_HS_oc,hsfa_HS_oc,hsfb_HS_oc,dko_HS_oc
Mp7g11870,Mp7g11870,Mp7g11870,,,,D,,D,,-0.461638072,-0.037133126,-1.64435972,-0.401125709,,C1,,,,,,,,,
Mp7g05260,Mp7g05260,Mp7g05260,,,,,U,D,D,-0.237045705,1.669704194,-1.328343178,-0.902878356,,C5,,,,,,,,,
Mp4g13840,Mp4g13840,Mp4g13840,,,,,D,,,-0.535273107,-1.086082753,-0.344668897,0.954584182,,C7,,,,,,,,,
Mp5g08750,Mp5g08750,Mp5g08750,,,,,D,D,,-0.455158952,-1.327091328,-1.391172772,0.240839601,,C1,,,,,,,,,
Mp6g04070,Mp6g04070,Mp6g04070,,,,D,,D,D,-0.898659852,-0.075325807,-1.199957396,-1.114456592,,C6,,,,,,,,,
Mp1g18540,Mp1g18540,Mp1g18540,MpCDF,Dof,"transcription factor, Dof",,U,,U,0.868177174,0.998524246,0.089007442,1.131675714,,C4,,,,,,,,,
Mp5g17400,Mp5g17400,Mp5g17400,,,,U,U,U,U,0.052349686,1.434592084,1.553269258,0.312690049,,C4,,,,,,,,,
Mp6g17000,Mp6g17000,Mp6g17000,,,,U,,,,1.515825715,0.533916761,0.332739595,-0.541163223,,C2,,,,,,,,,
Mp6g16430,Mp6g16430,Mp6g16430,,,,,D,,,0.38184683,-1.134068318,-0.756095872,-0.601487511,,C1,,,,,,,,,
Mp4g18900,Mp4g18900,Mp4g18900,,,,,D,,,-0.22098303,-1.592544364,-0.727131802,0.880673713,,C1,,,,,,,,,
Mp5g09530,Mp5g09530,Mp5g09530,,,,,,,U,1.150188097,0.274478081,-0.32458829,1.778289535,,C4,,,,,,,,,
Mp2g05380,Mp2g05380,Mp2g05380,,,,D,,,,-1.599083275,-0.719430135,-0.200120358,0.070833008,,C6,,,,,,,,,
Mp7g02200,Mp7g02200,Mp7g02200,,,,U,,U,,1.504752101,0.550002079,0.483991836,-1.091314755,,C2,,,,,,,,,
Mp1g19730,Mp1g19730,Mp1g19730,MpTRIHELIX2,Trihelix,"transcription factor, Trihelix",,,,U,0.659910648,0.872222389,0.176369678,1.533155073,,C4,,,,,,,,,
Mp5g17270,Mp5g17270,Mp5g17270,,,,,,,U,0.928892135,1.201465935,-0.04060915,1.988747587,,C5,,,,,,,,,
Mp8g04290,Mp8g04290,Mp8g04290,,,,,,,U,0.837789915,1.31213334,-0.413153299,1.706833588,,C5,,,,,,,,,
Mp4g20540,Mp4g20540,Mp4g20540,,,,,U,,,0.646109072,1.81927417,-0.213181367,0.655384139,chr4.23300363.23300608,C5,Promoter,,,down,,0.116856693,-0.429443824,-1.925169887,-0.944285676
Mp7g14890,Mp7g14890,Mp7g14890,,,,D,,D,D,-1.172681461,1.036879476,-1.638908765,-1.326772995,,C1,,,,,,,,,
Mp8g12000,Mp8g12000,Mp8g12000,Mp1R-MYB3,MYB,"transcription factor, MYB",U,,U,,1.800704037,-0.220590255,0.81646734,0.016526154,chr8.13518417.13518531,C2,Promoter,,,up,,0.189986125,0.19683925,1.745240494,-0.999484705
Mp8g06570,Mp8g06570,Mp8g06570,,,,,,,U,1.907624751,0.467146615,0.25407717,1.015594555,,C2,,,,,,,,,
Mp8g05680,Mp8g05680,Mp8g05680,,,,,,,U,0.562875251,-0.474940895,1.479688197,2.281592753,chr8.6474509.6474627,C4,Promoter,,,,down,-0.480768353,-0.580573422,0.183060779,-1.506094609
Mp6g14720,Mp6g14720,Mp6g14720,,,,U,D,U,D,1.618828461,-1.51912838,0.444545815,-0.870590224,,C2,,,,,,,,,
Mp7g15880,Mp7g15880,Mp7g15880,,,,D,,,,-1.872827628,-0.195001693,-0.086965546,0.080647357,,C6,,,,,,,,,
Mp3g20920,Mp3g20920,Mp3g20920,,,,U,U,U,,1.058948865,1.095475378,0.986677202,-0.462348713,chr3.21553540.21554067,C3,3' UTR,up,up,up,up,1.173908958,0.285010713,1.371924092,0.348928967
Mp3g14610,Mp3g14610,Mp3g14610,,,,,D,D,,0.30480443,-0.802393526,-1.431534502,-0.364234539,chr3.14234016.14234308,C1,Promoter,,,down,,-1.091187561,-0.9475166,-1.328951509,-1.422175617
Mp2g25170,Mp2g25170,Mp2g25170,,,,,D,,,-0.410659351,-2.048967263,-0.08790463,-0.014729008,,C1,,,,,,,,,
Mp4g08080,Mp4g08080,Mp4g08080,,,,D,D,D,,-0.381464033,-1.002866589,-1.661598433,0.957590184,,C1,,,,,,,,,
Mp2g02210,Mp2g02210,Mp2g02210,,,,D,D,,,-0.807091474,-1.048449087,-0.319912227,0.223924817,,C1,,,,,,,,,
Mp8g17360,Mp8g17360,Mp8g17360,,,,,,,U,1.820948299,-0.536805693,-0.312647084,1.463682588,,C4,,,,,,,,,
Mp4g05080,Mp4g05080,Mp4g05080,,,,,,,U,0.861859184,0.259149976,-0.971827986,2.063298546,,C4,,,,,,,,,
Mp8g08270,Mp8g08270,Mp8g08270,,,,,,D,,-1.115661172,-0.786804175,-0.341815675,0.076560864,,C6,,,,,,,,,
Mp4g17950,Mp4g17950,Mp4g17950,,,,,,U,U,0.547189246,1.009458533,0.195641173,1.335349204,,C4,,,,,,,,,
Mp6g07910,Mp6g07910,Mp6g07910,,,,D,D,,,-0.929088488,-1.600739851,0.34457032,-0.721144129,,C6,,,,,,,,,
Mp3g09750,Mp3g09750,Mp3g09750,,,,U,,U,D,1.194967198,-0.739756369,1.719183377,-0.960984381,,C2,,,,,,,,,
Mp2g14670,Mp2g14670,Mp2g14670,,,,U,,U,U,1.797887384,0.207151815,0.044390109,1.179525944,,C4,,,,,,,,,
Mp1g00440,Mp1g00440,Mp1g00440,,,,,D,,,-0.028176533,-2.05787505,0.27794734,-0.827212425,chr1.542614.543334,C1,Promoter,,,down,,0.086212604,-0.733090841,-1.185960073,-1.169612187
Mp4g09370,Mp4g09370,Mp4g09370,,,,D,D,D,,-0.742939692,-0.420867068,-1.694209332,0.039395104,,C1,,,,,,,,,
Mp1g13260,Mp1g13260,Mp1g13260,MpBZR2,BZR/BES,"transcription factor, BZR/BES",D,,D,D,-1.463831885,0.162178962,-0.968374589,-0.94559288,,C6,,,,,,,,,
Mp2g03100,Mp2g03100,Mp2g03100,,,,,,D,,-1.169609958,0.165211192,-1.640863888,-1.047035982,,C1,,,,,,,,,
Mp4g09470,Mp4g09470,Mp4g09470,,,,U,,,U,1.476733587,0.59937026,0.036818154,0.741503348,,C4,,,,,,,,,
Mp3g19770,Mp3g19770,Mp3g19770,,,,D,D,D,,-1.000379225,-1.048354522,-1.054027818,-0.08201522,,C6,,,,,,,,,
Mp2g21620,Mp2g21620,Mp2g21620,,,,U,U,U,,1.088773212,0.361708973,1.063327598,-0.231548651,,C3,,,,,,,,,
Mp5g09070,Mp5g09070,Mp5g09070,,,,,,,U,0.508897928,-0.616288475,1.451905013,1.957371909,,C3,,,,,,,,,
Mp4g15010,Mp4g15010,Mp4g15010,,,,,,,U,1.027269836,-1.252967389,0.542986668,1.199253448,,C7,,,,,,,,,
Mp7g17400,Mp7g17400,Mp7g17400,,,,,U,U,U,-0.044592177,2.017076648,0.065044963,1.163586562,,C5,,,,,,,,,
Mp5g18490,Mp5g18490,Mp5g18490,,,,D,,,D,-1.689196061,-0.468899794,-0.542267813,-1.238535479,,C6,,,,,,,,,
Mp4g03340,Mp4g03340,Mp4g03340,,,,D,D,D,D,-1.102405578,-0.338339918,-0.907861486,-0.81834009,,C1,,,,,,,,,
Mp6g07010,Mp6g07010,Mp6g07010,,,,D,D,D,D,-0.660439389,-0.732508309,-0.535571812,-0.779051553,,C6,,,,,,,,,
Mp1g24230,Mp1g24230,Mp1g24230,,,,D,,D,D,-1.730311016,0.471053343,-0.735863412,0.188805178,,C6,,,,,,,,,
Mp4g09790,Mp4g09790,Mp4g09790,,,,U,,,,1.466575482,-0.558795807,0.567157239,0.802430044,,C2,,,,,,,,,
Mp4g06820,Mp4g06820,Mp4g06820,,,,,U,U,,0.259687179,1.750630037,0.744134791,-0.507844048,,C5,,,,,,,,,
Mp1g28660,Mp1g28660,Mp1g28660,,,,,,D,,0.392331675,-0.761185242,-2.024532432,0.449347178,,C1,,,,,,,,,
Mp5g20380,Mp5g20380,Mp5g20380,,,,D,,,D,-1.655572549,-0.430768318,0.108606405,-0.985866561,chr5.21828255.21828342,C6,Promoter,,,,down,-0.631750483,-0.521047828,-0.328085862,-0.235914642
Mp7g10710,Mp7g10710,Mp7g10710,,,,,D,D,,0.04677638,-0.517555124,-1.960373889,0.111883372,,C1,,,,,,,,,
Mp3g20100,Mp3g20100,Mp3g20100,,,,,,D,,-1.11081151,-0.566852978,-1.409042016,-0.565940048,chr3.20552470.20552624,C6,3' UTR,up,up,up,up,1.200487266,0.664599743,1.215332024,0.664353592
Mp1g17210,Mp1g17210,Mp1g17210,MpR2R3-MYB1,MYB,"transcription factor, MYB",D,D,D,D,-0.578451013,0.156424936,-1.220762336,-0.871218287,chr1.17536819.17536945,C1,"Exon (Mp1g17210.2/Mp1g17210, exon 4 of 6)",,,down,,1.272021585,0.232501695,-1.233826213,-0.999997703
Mp2g05680,Mp2g05680,Mp2g05680,,,,,,D,,-0.097877975,0.170346766,-2.047034747,0.585832779,,C1,,,,,,,,,
Mp2g19550,Mp2g19550,Mp2g19550,,,,D,,D,D,-1.676535963,0.165071972,-0.510515632,-0.617617164,chr2.21239507.21239774,C6,"Exon (Mp2g19550.1/Mp2g19550, exon 8 of 18)",,,,up,-0.979794368,0.170821119,0.646027002,1.284527822
Mp8g00660,Mp8g00660,Mp8g00660,,,,,,U,,0.277760026,0.662164227,1.579591563,0.069049913,,C3,,,,,,,,,
Mp5g20900,Mp5g20900,Mp5g20900,,,,U,,U,,1.580427059,-0.695040775,1.1640661,-0.740829284,,C2,,,,,,,,,
Mp6g08200,Mp6g08200,Mp6g08200,,,,D,,D,,-1.752667595,1.766486265,-1.119420175,-0.071580931,,C1,,,,,,,,,
Mp4g16430,Mp4g16430,Mp4g16430,,,,D,,,D,-1.342714671,-0.406787836,0.616467931,-1.502042792,,C1,,,,,,,,,
Mp8g02280,Mp8g02280,Mp8g02280,,,,D,D,D,,-0.598842148,-0.941299847,-1.385391953,-0.016706486,,C1,,,,,,,,,
Mp4g03780,Mp4g03780,Mp4g03780,,,,U,,,D,1.39794449,-0.312772912,0.680646059,-1.18432245,,C2,,,,,,,,,
Mp2g11530,Mp2g11530,Mp2g11530,,,,,,D,,-0.544096775,1.445777142,-1.78119157,-0.659463754,,C5,,,,,,,,,
Mp8g16770,Mp8g16770,Mp8g16770,,,,U,U,U,U,1.594625565,0.758537001,0.055831612,0.756301383,,C4,,,,,,,,,
Mp6g05530,Mp6g05530,Mp6g05530,,,,U,,U,,1.49517216,-0.403820755,1.016357069,-0.286484349,,C2,,,,,,,,,
Mp6g19790,Mp6g19790,Mp6g19790,,,,U,,U,U,1.580576605,-0.699756857,1.378808816,-0.599048528,chr6.22067210.22067315,C2,Promoter,up,,up,,1.300792416,-0.149864725,2.295490668,-1.109012968
Mp2g05250,Mp2g05250,Mp2g05250,,,,,D,,,0.13437256,-1.329790903,-0.848619405,-0.955773484,,C1,,,,,,,,,
Mp8g06920,Mp8g06920,Mp8g06920,,,,U,,,U,0.596241047,-0.380264135,-0.55696152,2.144372252,,C4,,,,,,,,,
Mp8g10000,Mp8g10000,Mp8g10000,,,,U,,,U,1.492758328,-0.594860997,0.019151409,1.496911998,,C4,,,,,,,,,
Mp3g00910,Mp3g00910,Mp3g00910,,,,,D,,,-0.26621648,-0.466621502,-1.449296541,-0.501578395,chr3.1118705.1118883,C1,"Exon (Mp3g00910.1/Mp3g00910, exon 1 of 1)",up,,up,up,1.244910988,-0.848987606,1.40832095,-0.204494713
Mp6g09590,Mp6g09590,Mp6g09590,,,,,,,D,-0.948372586,-0.375034287,-1.083183931,-0.817949942,,C6,,,,,,,,,
Mp8g00740,Mp8g00740,Mp8g00740,,,,D,,,,-1.385699595,-1.083334065,0.007170957,-0.304924923,chr8.946270.946480,C6,Promoter,,,up,,0.401865639,0.196621639,1.944791614,0.396410354
Mp3g15540,Mp3g15540,Mp3g15540,,,,U,,U,,1.593207347,-0.281539481,1.101034098,-0.531839229,,C2,,,,,,,,,
Mp7g06030,Mp7g06030,Mp7g06030,,,,,,,U,1.096594512,0.36288123,-0.710751889,1.6944539,,C4,,,,,,,,,
Mp8g10150,Mp8g10150,Mp8g10150,,,,,,U,U,0.65963028,0.058688953,1.661237978,1.436486621,,C3,,,,,,,,,
Mp3g10210,Mp3g10210,Mp3g10210,,,,,D,,,1.375415297,-1.721239289,0.176768967,0.896993,,C7,,,,,,,,,
Mp5g19670,Mp5g19670,Mp5g19670,,,,,,U,,1.061289643,0.350483831,1.845762712,0.292343706,,C3,,,,,,,,,
Mp3g23140,Mp3g23140,Mp3g23140,,,,,,,D,-0.215035076,-0.987916234,-0.153101294,-1.929288776,,C6,,,,,,,,,
Mp8g06520,Mp8g06520,Mp8g06520,,,,,,,U,1.211308195,1.109074493,0.107943205,1.194900507,chr8.7443682.7443791,C4,Promoter,,down,down,,0.31347834,-0.840421553,-0.384443877,-0.886927203
Mp1g14970,Mp1g14970,Mp1g14970,,,,,,,U,0.569884965,0.372885712,0.586297901,2.281851333,,C4,,,,,,,,,
Mp6g15460,Mp6g15460,Mp6g15460,,,,,,U,,-0.346312671,0.057778027,1.372869053,0.552690556,chr6.17029346.17029541,C8,3' UTR,,up,,up,-0.442622578,1.121179444,-0.157772684,1.326584747
Mp7g04580,Mp7g04580,Mp7g04580,,,,,U,,,1.201212246,0.339487098,0.157968968,1.241369122,,C4,,,,,,,,,
Mp2g05990,Mp2g05990,Mp2g05990,,,,U,,,,1.73413334,0.125330907,0.803824769,0.316300537,,C4,,,,,,,,,
Mp5g14430,Mp5g14430,Mp5g14430,,,,D,D,D,D,-1.052367473,-1.074058736,0.281246419,0.502314989,,C6,,,,,,,,,
Mp5g21450,Mp5g21450,Mp5g21450,,,,D,D,,,-0.688786005,-1.430882211,0.222010997,0.331542212,chr5.23049834.23050112,C6,Promoter,,down,,,0.057262666,-0.982195622,-0.23994095,-0.698900086
Mp6g17700,Mp6g17700,Mp6g17700,,,,,,U,D,-0.652830904,-0.364105541,2.334685013,-1.319125375,,C8,,,,,,,,,
Mp1g10170,Mp1g10170,Mp1g10170,,,,D,,D,D,-1.44446039,-0.023051265,-1.30772002,-1.339846045,,C6,,,,,,,,,
Mp7g05330,Mp7g05330,Mp7g05330,,,,,,,U,1.1278971,0.360875886,0.62807288,1.088889911,,C4,,,,,,,,,
Mp7g15620,Mp7g15620,Mp7g15620,,,,D,D,D,D,-0.62403987,-0.577930069,-0.31130768,-1.146620743,chr7.17278863.17278955,C6,Promoter,,,up,up,0.542204436,0.219067083,1.155177755,0.640692982
Mp5g15940,Mp5g15940,Mp5g15940,,,,U,,U,,1.644767095,-0.428220212,1.185082299,-0.680802063,chr5.17003851.17004218,C2,Promoter,up,,up,,1.676352435,-0.621278864,2.08493298,-0.481099213
Mp8g01160,Mp8g01160,Mp8g01160,,,,,,D,,-1.269193401,-0.200984776,-1.219241361,-0.725720316,chr8.1286986.1287157,C1,"Exon (Mp8g01170.1/Mp8g01170, exon 10 of 10)",up,up,up,up,0.174873496,0.774086404,0.66556833,1.473575283
Mp1g09320,Mp1g09320,Mp1g09320,,,,,,D,,-0.424032427,-0.76292116,-1.839475987,0.839667445,,C1,,,,,,,,,
Mp1g11940,Mp1g11940,Mp1g11940,,,,D,,,,-1.364030923,-0.966417848,1.16633805,0.082671915,,C6,,,,,,,,,
Mp7g00640,Mp7g00640,Mp7g00640,,,,U,U,U,,1.293807564,-0.30137805,1.006797609,0.490908891,,C3,,,,,,,,,
Mp5g22540,Mp5g22540,Mp5g22540,,,,,U,U,U,0.00515456,0.456565764,1.013732149,1.275602524,,C4,,,,,,,,,
Mp5g00400,Mp5g00400,Mp5g00400,,,,U,,U,,1.638740421,-0.496266284,1.282934278,-0.977295282,chr5.624234.624447,C2,3' UTR,up,up,up,up,1.635753079,0.271010469,1.454678597,0.162662117
Mp5g12960,Mp5g12960,Mp5g12960,,,,D,,,,-2.055463064,-0.477506845,-0.515633328,-0.200874265,,C6,,,,,,,,,
Mp1g03020,Mp1g03020,Mp1g03020,,,,U,U,U,,0.931916233,0.694864412,0.998250083,-0.009679503,,C3,,,,,,,,,
Mp2g20650,Mp2g20650,Mp2g20650,,,,,D,D,,0.305504326,-1.85701492,-1.87057606,-0.630327207,,C1,,,,,,,,,
Mp6g04780,Mp6g04780,Mp6g04780,,,,,U,,U,1.310145872,1.734113999,-0.676287873,0.848290285,chr6.5283300.5283816,C5,Promoter,,,,down,-0.510129178,-0.665681606,-0.969704388,-1.475648098
Mp2g05950,Mp2g05950,Mp2g05950,,,,,U,U,,1.086570817,1.774089757,0.475128394,0.30621042,chr2.6186388.6187275,C4,Promoter,,,up,up,1.175171385,0.703619768,0.431782249,0.693559721
Mp6g09300,Mp6g09300,Mp6g09300,,,,,,D,,-1.338922905,0.196490192,-2.611602975,0.031344116,,C6,,,,,,,,,
Mp2g02340,Mp2g02340,Mp2g02340,,,,D,D,,,-1.150656066,-0.697905067,0.133418342,-0.524887842,chr2.2544758.2545444,C1,Promoter,,,,down,-0.479549412,-0.333621426,-0.856273241,-1.260240358
Mp3g21880,Mp3g21880,Mp3g21880,,,,,,,U,1.476070646,0.217797026,0.014696643,1.804680205,,C4,,,,,,,,,
Mp8g06690,Mp8g06690,Mp8g06690,,,,U,,U,,1.447785376,-0.601409598,1.222470771,-0.398450113,,C3,,,,,,,,,
Mp7g09350,Mp7g09350,Mp7g09350,MpERF1,AP2/ERF,"Transcription factor, potential ortholog of AtERF1",D,U,D,D,-1.577448334,1.879575456,-1.197581343,-1.390079057,,C1,,,,,,,,,
Mp2g12290,Mp2g12290,Mp2g12290,,,,,,,U,0.193949798,1.399001477,0.026896917,1.792241832,,C4,,,,,,,,,
Mp7g19550,Mp7g19550,Mp7g19550,,,,,U,,,-0.443010896,2.028013003,0.123979327,-0.776828332,,C5,,,,,,,,,
Mp3g17420,Mp3g17420,Mp3g17420,,,,,U,U,,0.14946825,1.639457475,1.245672491,0.547268935,,C4,,,,,,,,,
Mp1g23260,Mp1g23260,Mp1g23260,,,,,,D,,-0.569937719,-0.277167237,-2.111032753,0.227789075,,C1,,,,,,,,,
Mp6g08170,Mp6g08170,Mp6g08170,,,,U,U,U,U,1.632190758,0.438911304,0.187435503,0.978986527,,C4,,,,,,,,,
Mp3g17450,Mp3g17450,Mp3g17450,,,,U,D,U,D,1.601624691,-0.95470184,1.048381839,-1.043952263,chr3.17598359.17599020,C2,Promoter,up,,up,down,1.618511716,-0.889491507,1.0730742,-1.266183582
Mp1g08290,Mp1g08290,Mp1g08290,,,,,,,U,0.86178952,0.251844409,-0.443426065,2.062003575,,C4,,,,,,,,,
Mp6g14420,Mp6g14420,Mp6g14420,,,,,,,U,0.480702742,1.388395331,-0.344639799,2.288244784,,C5,,,,,,,,,
Mp3g01690,Mp3g01690,Mp3g01690,,,,U,,U,U,1.293163121,0.370454386,1.057661018,0.992402008,chr3.1822274.1822400,C4,"Exon (Mp3g01680.1/Mp3g01680, exon 7 of 7)",up,up,up,up,0.897080823,0.752677929,1.352363652,-0.192696091
Mp2g16540,Mp2g16540,Mp2g16540,,,,U,D,U,,1.596130862,-0.697553421,1.330080832,-0.766617692,chr2.17525937.17526405,C2,Promoter,up,,up,,1.010605795,-0.836690875,1.956619025,-1.145512615
Mp7g07860,Mp7g07860,Mp7g07860,,,,,U,U,U,-0.092142001,1.298312256,0.728392291,1.35497331,,C4,,,,,,,,,
Mp6g01870,Mp6g01870,Mp6g01870,,,,,,,U,0.715314453,-0.07671056,0.608571226,1.623787709,chr6.2313444.2313541,C4,"Exon (Mp6g01870.1/Mp6g01870, exon 6 of 13)",,,,down,-0.328304575,0.034869398,-0.255009411,-1.605527027
Mp2g18730,Mp2g18730,Mp2g18730,,,,,,,D,-1.38385969,-0.135383369,-0.730097784,-1.432811111,,C6,,,,,,,,,
Mp4g03520,Mp4g03520,Mp4g03520,,,,,,,U,1.082981169,0.127258275,-1.191678689,1.47463983,,C4,,,,,,,,,
Mp4g23320,Mp4g23320,Mp4g23320,,,,,,U,,1.165441696,-0.388376558,1.784128748,0.843395141,,C3,,,,,,,,,
Mp1g17820,Mp1g17820,Mp1g17820,,,,U,U,U,,1.41704583,0.338689052,1.192506155,-0.4543821,chr1.18119831.18121789,C2,3' UTR,up,,up,,1.35716902,-0.590345939,1.882173247,-0.40729182
Mp7g04270,Mp7g04270,Mp7g04270,,,,U,,U,,1.549278196,-0.271399388,1.204279638,-0.48639409,chr7.5161755.5162068,C2,Promoter,up,,up,,1.083872503,-0.744340186,2.136067554,-0.284853858
Mp6g16380,Mp6g16380,Mp6g16380,,,,,D,D,,-0.188977016,-0.075210643,-1.664934881,-0.319807156,,C1,,,,,,,,,
Mp4g19320,Mp4g19320,Mp4g19320,,,,D,,,,-1.217342904,-0.676540882,0.365505583,-0.935943972,,C1,,,,,,,,,
Mp5g21350,Mp5g21350,Mp5g21350,,,,,,D,,0.302129742,-0.615462018,-1.999234898,1.284062463,,C1,,,,,,,,,
Mp8g02940,Mp8g02940,Mp8g02940,,,,D,D,D,D,-0.014555005,-1.741840112,-0.269804055,-1.038736208,,C1,,,,,,,,,
Mp3g15450,Mp3g15450,Mp3g15450,,,,D,D,D,D,-1.192993648,-0.869543286,0.235439312,-0.961601125,,C6,,,,,,,,,
Mp5g12010,Mp5g12010,Mp5g12010,,,,,,,U,0.681474575,1.335167823,-0.017700917,1.773345351,,C4,,,,,,,,,
Mp5g22830,Mp5g22830,Mp5g22830,,,,U,,,,1.713901284,0.349267934,-1.010542153,0.463000519,,C4,,,,,,,,,
Mp3g23770,Mp3g23770,Mp3g23770,,,,U,,U,,1.362203828,-0.064666894,1.276062126,-0.115700995,,C3,,,,,,,,,
Mp7g00090,Mp7g00090,Mp7g00090,,,,,D,,,0.097936509,-2.218013951,0.204375241,-0.5439139,,C1,,,,,,,,,
Mp7g03070,Mp7g03070,Mp7g03070,,,,,U,D,U,0.814826434,1.113760118,-0.802304321,0.386771403,,C5,,,,,,,,,
Mp4g07920,Mp4g07920,Mp4g07920,,,,,,D,D,-0.599722829,0.302280148,-1.246350334,-1.77509112,,C6,,,,,,,,,
Mp2g14680,Mp2g14680,Mp2g14680,,,,,,,U,1.292592011,0.293162207,0.671100747,0.809902873,,C2,,,,,,,,,
Mp6g02000,Mp6g02000,Mp6g02000,,,,,,U,,-0.012893005,-0.12259516,1.777941128,0.657235628,,C3,,,,,,,,,
Mp3g01610,Mp3g01610,Mp3g01610,,,,,,,U,1.487050583,-0.584378288,0.354542628,1.296156421,,C2,,,,,,,,,
Mp8g08840,Mp8g08840,Mp8g08840,,,,,D,D,,-0.293578475,-0.18780871,-1.457741965,0.099244278,,C1,,,,,,,,,
Mp7g15800,Mp7g15800,Mp7g15800,,,,,U,,,0.254013896,1.16815772,0.255006036,0.524403876,,C4,,,,,,,,,
Mp1g12530,Mp1g12530,Mp1g12530,,,,U,D,U,,1.434708542,-1.25998668,1.234809511,-1.10321337,chr1.12707289.12708205,C2,Promoter,up,,,,1.660349779,0.09330066,1.262778218,-0.485183707
Mp7g19430,Mp7g19430,Mp7g19430,,,,,D,,,0.350189067,-1.339060458,-1.086976156,1.486708271,,C1,,,,,,,,,
Mp6g03310,Mp6g03310,Mp6g03310,,,,,D,D,,-0.644858587,-1.61066533,-0.567489996,-0.371251483,,C7,,,,,,,,,
Mp1g06600,Mp1g06600,Mp1g06600,,,,D,,,D,-1.688222859,0.377606791,0.054807183,-0.537137918,,C6,,,,,,,,,
Mp1g27940,Mp1g27940,Mp1g27940,,,,D,D,D,,-0.783166585,-1.827282196,-0.441886709,-0.309573566,,C1,,,,,,,,,
Mp2g26010,Mp2g26010,Mp2g26010,,,,,D,U,,-1.032946283,-1.286658224,1.138518838,-0.23016108,,C8,,,,,,,,,
Mp4g03710,Mp4g03710,Mp4g03710,,,,D,,D,,-0.328026845,1.058969834,-2.25988737,-0.115877089,,C1,,,,,,,,,
Mp8g13590,Mp8g13590,Mp8g13590,,,,,,,D,1.685604953,-0.910082749,-0.40886741,-1.793785283,chr8.15320792.15321364,C2,3' UTR,up,,up,,0.982394318,-0.205970116,1.40658308,0.611434118
Mp8g01820,Mp8g01820,Mp8g01820,,,,,,U,U,0.438695146,0.423690957,1.472275073,0.843824734,chr8.1892534.1892675,C3,3' UTR,up,up,up,up,1.123172988,1.000785987,0.934491596,-0.440651372
Mp1g16700,Mp1g16700,Mp1g16700,,,,D,,,,-1.161559156,-1.228277524,0.528885893,-0.449864784,,C6,,,,,,,,,
Mp1g24430,Mp1g24430,Mp1g24430,,,,,,D,,0.159965679,-0.052832778,-1.449642006,-0.9393516,,C1,,,,,,,,,
Mp2g10040,Mp2g10040,Mp2g10040,,,,U,,U,U,1.805508043,-0.773908198,1.247510424,0.330346053,,C3,,,,,,,,,
Mp1g23190,Mp1g23190,Mp1g23190,,,,D,,,D,-1.450728944,-0.89296133,0.278718613,-0.61469649,,C1,,,,,,,,,
Mp5g09430,Mp5g09430,Mp5g09430,,,,U,,U,,1.664149481,-1.055731569,1.52632128,-0.07431102,,C2,,,,,,,,,
Mp1g09180,Mp1g09180,Mp1g09180,,,,U,,U,,1.445267734,-1.010126982,1.657023842,-0.432305531,,C3,,,,,,,,,
Mp7g03960,Mp7g03960,Mp7g03960,,,,U,,U,,1.587628069,-0.427197846,0.881353348,-0.4332198,,C2,,,,,,,,,
Mp2g09140,Mp2g09140,Mp2g09140,,,,,,,D,-1.182307506,1.048321306,-0.471610399,-1.532155087,chr2.9465943.9466092,C6,3' UTR,,up,,up,0.162320983,1.084639498,0.230000412,1.553772076
Mp5g18350,Mp5g18350,Mp5g18350,,,,,U,,,0.151607658,2.315601165,-0.40275812,-0.561117149,,C5,,,,,,,,,
Mp1g21700,Mp1g21700,Mp1g21700,,,,D,D,D,,-0.480675685,-0.898633876,-1.231998032,0.443523952,,C1,,,,,,,,,
Mp1g27090,Mp1g27090,Mp1g27090,,,,,,,D,-1.177010575,0.475104389,-0.839467457,-1.777093066,,C6,,,,,,,,,
Mp1g06780,Mp1g06780,Mp1g06780,,,,,U,U,,-0.179746465,2.628552483,-0.092240632,-0.448333151,,C5,,,,,,,,,
Mp6g01840,Mp6g01840,Mp6g01840,,,,,,,D,-1.282224503,-0.811537334,-0.39020727,-1.298756633,,C6,,,,,,,,,
Mp2g23940,Mp2g23940,Mp2g23940,,,,D,D,D,,-0.642312046,-0.159612824,-2.105652085,-0.285444133,,C1,,,,,,,,,
Mp2g25060,Mp2g25060,Mp2g25060,,,,D,D,D,,-0.907639675,-0.569852806,-1.286634079,-0.51821476,,C1,,,,,,,,,
Mp2g23620,Mp2g23620,Mp2g23620,,,,,D,,,-0.781811754,-1.016005978,-1.001290709,0.091364991,,C1,,,,,,,,,
Mp1g03450,Mp1g03450,Mp1g03450,,,,,,,U,0.61017573,0.159908163,-0.001342196,1.223468059,,C4,,,,,,,,,
Mp3g21900,Mp3g21900,Mp3g21900,,,,U,,U,U,0.840656156,0.535657573,2.557148958,-0.056151859,,C3,,,,,,,,,
Mp6g19380,Mp6g19380,Mp6g19380,,,,,U,,U,0.632091349,1.362708948,-1.25044646,1.700033366,,C5,,,,,,,,,
Mp5g15850,Mp5g15850,Mp5g15850,,,,U,,,,1.676926029,-0.634845907,0.720835241,-0.885015281,,C2,,,,,,,,,
