shared.name,interaction,source,target,MI,pvalue,weight,presence,source_TF,target_TF,presence_rna,presence_rna_revised
Mp1g13260 (interacts with) Mp3g08375,interacts with,Mp1g13260,Mp3g08375,1.035225738,2.50863130268897e-08,0.03169045,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp5g07200,interacts with,Mp8g08100,Mp5g07200,0.983306855,0,0.0622378,RNA-seq,Trihelix,NA,source,source
Mp1g13260 (interacts with) Mp7g03660,interacts with,Mp1g13260,Mp7g03660,0.905824914,0.00525517,0.03127148,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp5g06340,interacts with,Mp8g08100,Mp5g06340,0.877264501,4.10292818320279e-06,0.062106265,RNA-seq,Trihelix,NA,source,source
Mp1g13260 (interacts with) Mp3g01610,interacts with,Mp1g13260,Mp3g01610,1.016769147,0.00525517,0.030947166,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp2g10090,interacts with,Mp8g08100,Mp2g10090,0.92623018,4.77781991630177e-05,0.061562643,RNA-seq,Trihelix,NA,source,source
Mp1g13260 (interacts with) Mp1g07250,interacts with,Mp1g13260,Mp1g07250,1.022147798,2.50863130268897e-08,0.030594335,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp4g18900,interacts with,Mp8g08100,Mp4g18900,1.001120081,4.77781991630177e-05,0.060347391,RNA-seq,Trihelix,NA,source,source
Mp1g13260 (interacts with) Mp3g20600,interacts with,Mp1g13260,Mp3g20600,0.994289591,0.049115235,0.030232326,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp2g23620,interacts with,Mp8g08100,Mp2g23620,0.980442315,0.00525517,0.059593934,RNA-seq,Trihelix,NA,source,source
Mp1g13260 (interacts with) Mp3g05200,interacts with,Mp1g13260,Mp3g05200,0.986709114,0.00525517,0.030120107,,BZR/BES,NA,,
Mp8g08100 (interacts with) Mp5g17610,interacts with,Mp8g08100,Mp5g17610,1.014599422,0,0.059585397,source,Trihelix,NA,source,source
Mp8g08100 (interacts with) Mp2g09490,interacts with,Mp8g08100,Mp2g09490,1.023125956,0.00525517,0.059494825,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp4g11900,interacts with,Mp1g17210,Mp4g11900,0.945215522,2.50863130268897e-08,0.046055889,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp6g02020,interacts with,Mp8g08100,Mp6g02020,0.953115694,0.049115235,0.057451755,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp2g18580,interacts with,Mp1g17210,Mp2g18580,0.965647771,0.00525517,0.041155074,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp4g23140,interacts with,Mp8g08100,Mp4g23140,1.020204045,0,0.057415975,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp8g14900,interacts with,Mp1g17210,Mp8g14900,1.061381681,0,0.040371638,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp5g19620,interacts with,Mp8g08100,Mp5g19620,1.013863247,0,0.056652414,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp7g18430,interacts with,Mp1g17210,Mp7g18430,1.019415305,3.30563580508425e-07,0.038490573,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp7g18360,interacts with,Mp8g08100,Mp7g18360,1.015869058,0,0.055918806,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp4g18220,interacts with,Mp1g17210,Mp4g18220,1.031998087,0.00525517,0.037707505,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp8g02280,interacts with,Mp8g08100,Mp8g02280,1.086876226,0.000519722,0.055822405,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp7g09710,interacts with,Mp1g17210,Mp7g09710,0.87823111,4.10292818320279e-06,0.036978508,RNA-seq,MYB,HD,source,source
Mp8g08100 (interacts with) Mp4g08080,interacts with,Mp8g08100,Mp4g08080,0.969796997,3.30563580508425e-07,0.055748645,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp8g07170,interacts with,Mp1g17210,Mp8g07170,1.098247411,0.049115235,0.036112995,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp2g16500,interacts with,Mp8g08100,Mp2g16500,0.91946078,0.049115235,0.055699209,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp5g09760,interacts with,Mp1g17210,Mp5g09760,0.911918845,0.000519722,0.033469917,source,MYB,NA,source,source
Mp8g08100 (interacts with) Mp1g09320,interacts with,Mp8g08100,Mp1g09320,0.914862309,0.049115235,0.055645603,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp3g02160,interacts with,Mp1g17210,Mp3g02160,0.943217136,0.049115235,0.033459106,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp6g05600,interacts with,Mp8g08100,Mp6g05600,0.903830794,4.77781991630177e-05,0.055387581,source,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp7g11260,interacts with,Mp1g17210,Mp7g11260,0.928129121,4.77781991630177e-05,0.03162677,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp5g11430,interacts with,Mp8g08100,Mp5g11430,1.113815053,1.2337530996831e-10,0.054515743,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp3g24120,interacts with,Mp1g17210,Mp3g24120,1.101437173,1.2337530996831e-10,0.031577337,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp5g08750,interacts with,Mp8g08100,Mp5g08750,1.030278289,0,0.054337129,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp2g05780,interacts with,Mp1g17210,Mp2g05780,1.010188188,0.049115235,0.031216101,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp5g12880,interacts with,Mp8g08100,Mp5g12880,0.899264166,0.049115235,0.053764953,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp3g20780,interacts with,Mp1g17210,Mp3g20780,0.985699,4.77781991630177e-05,0.030270577,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp1g03750,interacts with,Mp8g08100,Mp1g03750,0.892724388,0.00525517,0.053301302,RNA-seq,Trihelix,NA,source,source
Mp1g17210 (interacts with) Mp4g05210,interacts with,Mp1g17210,Mp4g05210,0.969661538,4.10292818320279e-06,0.030030975,RNA-seq,MYB,NA,source,source
Mp8g08100 (interacts with) Mp7g06170,interacts with,Mp8g08100,Mp7g06170,0.962451917,2.50863130268897e-08,0.051472093,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp4g14190,interacts with,Mp7g09350,Mp4g14190,0.871558752,0.049115235,0.064867325,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp4g07630,interacts with,Mp8g08100,Mp4g07630,0.862645887,0.000519722,0.050875198,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp5g16220,interacts with,Mp7g09350,Mp5g16220,1.018979951,4.77781991630177e-05,0.056964418,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp6g03790,interacts with,Mp8g08100,Mp6g03790,0.856128148,0.00525517,0.049905763,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp7g14930,interacts with,Mp7g09350,Mp7g14930,0.846480738,0.000519722,0.056433937,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp3g02080,interacts with,Mp8g08100,Mp3g02080,1.034629199,0.00525517,0.04961157,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp2g26620,interacts with,Mp7g09350,Mp2g26620,0.93584994,0.00525517,0.047286947,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp3g01020,interacts with,Mp8g08100,Mp3g01020,0.93386794,0.00525517,0.049601042,source,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp7g14890,interacts with,Mp7g09350,Mp7g14890,0.947886905,4.10292818320279e-06,0.047038371,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp3g14960,interacts with,Mp8g08100,Mp3g14960,0.94804156,4.77781991630177e-05,0.048485133,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp8g08710,interacts with,Mp7g09350,Mp8g08710,0.892985699,0.049115235,0.037689714,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp5g05070,interacts with,Mp8g08100,Mp5g05070,0.927549293,0.000519722,0.048284763,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp5g16770,interacts with,Mp7g09350,Mp5g16770,0.893354079,4.77781991630177e-05,0.037363494,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp8g10340,interacts with,Mp8g08100,Mp8g10340,0.916592788,4.77781991630177e-05,0.048112823,RNA-seq,Trihelix,NA,source,source
Mp7g09350 (interacts with) Mp6g03620,interacts with,Mp7g09350,Mp6g03620,0.863924961,0.049115235,0.034946619,,AP2/ERF,NA,,
Mp8g08100 (interacts with) Mp3g15330,interacts with,Mp8g08100,Mp3g15330,1.014474756,0,0.047996522,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g22310,interacts with,Mpzg01410,Mp3g22310,0.985291058,1.80950454620188e-09,0.060439222,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp6g17270,interacts with,Mp8g08100,Mp6g17270,0.978288671,0,0.047575776,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp5g07640,interacts with,Mpzg01410,Mp5g07640,1.018046154,2.50863130268897e-08,0.050991195,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp1g11770,interacts with,Mp8g08100,Mp1g11770,0.967118326,0.00525517,0.047553391,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp8g08550,interacts with,Mpzg01410,Mp8g08550,0.957685224,3.30563580508425e-07,0.050062378,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp7g08810,interacts with,Mp8g08100,Mp7g08810,1.003523648,0,0.047536158,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g26670,interacts with,Mpzg01410,Mp1g26670,0.988599394,0.00525517,0.049827947,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp3g02550,interacts with,Mp8g08100,Mp3g02550,0.999698108,4.10292818320279e-06,0.047478288,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp7g07690,interacts with,Mpzg01410,Mp7g07690,0.880918972,0.049115235,0.048852989,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp2g04890,interacts with,Mp8g08100,Mp2g04890,1.006504809,1.80950454620188e-09,0.047332989,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp8g04700,interacts with,Mpzg01410,Mp8g04700,1.051087095,0,0.046933294,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp8g15840,interacts with,Mp8g08100,Mp8g15840,0.943648236,0,0.046980346,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g21860,interacts with,Mpzg01410,Mp1g21860,0.910463587,0.049115235,0.046817548,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp4g06370,interacts with,Mp8g08100,Mp4g06370,1.116856964,0.049115235,0.04650362,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g13260,interacts with,Mpzg01410,Mp1g13260,1.029520804,0,0.046279603,RNA-seq,bHLH,BZR/BES,source,source
Mp8g08100 (interacts with) Mp2g10650,interacts with,Mp8g08100,Mp2g10650,1.026891706,0.049115235,0.046140989,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp5g12960,interacts with,Mpzg01410,Mp5g12960,0.914402895,0.000519722,0.045145922,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp2g07900,interacts with,Mp8g08100,Mp2g07900,0.942914088,4.77781991630177e-05,0.045589153,RNA-seq,Trihelix,NA,source,source
Mp8g08100 (interacts with) Mp4g20210,interacts with,Mp8g08100,Mp4g20210,0.989319946,0.000519722,0.045156407,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp7g01270,interacts with,Mpzg01410,Mp7g01270,0.945343622,4.77781991630177e-05,0.042886035,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp3g23970,interacts with,Mp8g08100,Mp3g23970,0.995257092,2.50863130268897e-08,0.045021094,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp6g09650,interacts with,Mpzg01410,Mp6g09650,1.11655513,4.10292818320279e-06,0.042620836,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp1g23260,interacts with,Mp8g08100,Mp1g23260,0.990766423,4.10292818320279e-06,0.044868233,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp6g08260,interacts with,Mpzg01410,Mp6g08260,0.867051578,4.77781991630177e-05,0.042257085,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp5g19920,interacts with,Mp8g08100,Mp5g19920,0.999124524,3.30563580508425e-07,0.044823528,source,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g20450,interacts with,Mpzg01410,Mp3g20450,1.087706104,0,0.042157634,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp8g05200,interacts with,Mp8g08100,Mp8g05200,1.026052086,0.00525517,0.043066844,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g17420,interacts with,Mpzg01410,Mp2g17420,1.071571944,0,0.04211934,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp7g19240,interacts with,Mp8g08100,Mp7g19240,1.029831072,4.10292818320279e-06,0.042131271,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g04050,interacts with,Mpzg01410,Mp2g04050,0.918797298,0.049115235,0.041920994,RNA-seq,bHLH,NA,source,source
Mpzg01410 (interacts with) Mp6g14720,interacts with,Mpzg01410,Mp6g14720,0.987131,0.00525517,0.041899772,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp6g02550,interacts with,Mp8g08100,Mp6g02550,1.038468494,0.00525517,0.04041646,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp6g03330,interacts with,Mpzg01410,Mp6g03330,1.038043448,1.2337530996831e-10,0.041771416,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp7g09710,interacts with,Mp8g08100,Mp7g09710,1.01916916,0.00525517,0.039522544,RNA-seq,Trihelix,HD,source,source
Mpzg01410 (interacts with) Mp2g05990,interacts with,Mpzg01410,Mp2g05990,1.022686964,0,0.041416591,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp2g12520,interacts with,Mp8g08100,Mp2g12520,0.976187351,4.77781991630177e-05,0.037849186,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp4g15430,interacts with,Mpzg01410,Mp4g15430,1.119554377,0,0.041129846,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp4g07610,interacts with,Mp8g08100,Mp4g07610,1.037697798,4.77781991630177e-05,0.037534071,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g07250,interacts with,Mpzg01410,Mp1g07250,0.992859509,0.000519722,0.039847466,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp3g14610,interacts with,Mp8g08100,Mp3g14610,0.903914447,2.50863130268897e-08,0.037341061,source,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g24140,interacts with,Mpzg01410,Mp1g24140,1.06139062,1.2337530996831e-10,0.039774875,RNA-seq,bHLH,HD,source,source
Mp8g08100 (interacts with) Mp1g03020,interacts with,Mp8g08100,Mp1g03020,0.989539873,0.049115235,0.037233069,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp4g14080,interacts with,Mpzg01410,Mp4g14080,0.956488806,4.10292818320279e-06,0.039326261,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp8g08310,interacts with,Mp8g08100,Mp8g08310,0.888713046,0,0.037226754,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp7g11760,interacts with,Mpzg01410,Mp7g11760,0.990592672,0.049115235,0.039176969,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp7g08830,interacts with,Mp8g08100,Mp7g08830,0.898971054,3.30563580508425e-07,0.035878843,RNA-seq,Trihelix,NA,source,source
Mp8g08100 (interacts with) Mp3g20950,interacts with,Mp8g08100,Mp3g20950,0.899179379,3.30563580508425e-07,0.035795575,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp4g18300,interacts with,Mpzg01410,Mp4g18300,0.999587257,4.77781991630177e-05,0.038686352,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp5g21350,interacts with,Mp8g08100,Mp5g21350,1.007071603,0.000519722,0.035429498,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp7g14110,interacts with,Mpzg01410,Mp7g14110,0.975417406,0,0.038493779,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp8g02700,interacts with,Mp8g08100,Mp8g02700,0.909475399,0.049115235,0.033705582,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g12530,interacts with,Mpzg01410,Mp1g12530,0.926757986,0.049115235,0.03810829,source,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp2g08510,interacts with,Mp8g08100,Mp2g08510,0.962359207,4.10292818320279e-06,0.033157062,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp5g22920,interacts with,Mpzg01410,Mp5g22920,0.934425478,2.50863130268897e-08,0.037776523,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp1g07730,interacts with,Mp8g08100,Mp1g07730,0.905360687,0.000519722,0.031385736,source,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g24230,interacts with,Mpzg01410,Mp1g24230,0.928875395,0.000519722,0.036493477,RNA-seq,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp6g13910,interacts with,Mp8g08100,Mp6g13910,0.914973099,4.77781991630177e-05,0.031230922,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp4g06240,interacts with,Mpzg01410,Mp4g06240,1.048833228,0.00525517,0.036303902,source,bHLH,NA,source,source
Mp8g08100 (interacts with) Mp1g10250,interacts with,Mp8g08100,Mp1g10250,0.97997028,1.80950454620188e-09,0.03120996,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g09020,interacts with,Mpzg01410,Mp3g09020,1.015182069,4.77781991630177e-05,0.036284115,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp1g23760,interacts with,Mp1g03040,Mp1g23760,1.024530399,1.80950454620188e-09,0.071503123,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp7g11410,interacts with,Mpzg01410,Mp7g11410,1.043113426,0,0.036223971,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g21490,interacts with,Mp1g03040,Mp2g21490,1.077367136,0,0.071155463,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp7g09270,interacts with,Mpzg01410,Mp7g09270,0.908836168,0.049115235,0.036012936,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g01420,interacts with,Mp1g03040,Mp2g01420,0.91875879,0.049115235,0.068544315,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g19550,interacts with,Mpzg01410,Mp2g19550,1.012594302,0.000519722,0.035724402,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g05380,interacts with,Mp1g03040,Mp2g05380,1.04519573,4.77781991630177e-05,0.067079537,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp4g22610,interacts with,Mpzg01410,Mp4g22610,1.004299037,0.049115235,0.03565969,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp7g15800,interacts with,Mp1g03040,Mp7g15800,1.000815936,0.049115235,0.064250599,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp8g13330,interacts with,Mpzg01410,Mp8g13330,1.048765405,0.00525517,0.035633491,source,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g15510,interacts with,Mp1g03040,Mp2g15510,1.031225819,0.049115235,0.063729281,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp6g05150,interacts with,Mpzg01410,Mp6g05150,0.965534804,0.000519722,0.035591336,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g17820,interacts with,Mp1g03040,Mp2g17820,0.935097244,0.049115235,0.063194436,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g04300,interacts with,Mpzg01410,Mp3g04300,1.001985795,0.000519722,0.035028124,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp5g14440,interacts with,Mp1g03040,Mp5g14440,0.97587686,0.00525517,0.062993307,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp5g06100,interacts with,Mpzg01410,Mp5g06100,0.947436147,1.2337530996831e-10,0.035021973,source,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp5g03920,interacts with,Mp1g03040,Mp5g03920,1.058580865,0,0.06270271,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g10220,interacts with,Mpzg01410,Mp2g10220,0.947886905,4.10292818320279e-06,0.0350134,source,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp4g21500,interacts with,Mp1g03040,Mp4g21500,1.008647231,1.80950454620188e-09,0.061378283,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g25930,interacts with,Mpzg01410,Mp2g25930,0.879600583,0.000519722,0.034933231,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp8g08570,interacts with,Mp1g03040,Mp8g08570,0.954385705,3.30563580508425e-07,0.061187084,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp8g08900,interacts with,Mpzg01410,Mp8g08900,0.988540521,1.80950454620188e-09,0.034862962,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp6g02250,interacts with,Mp1g03040,Mp6g02250,1.064166898,0.049115235,0.05945715,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp5g07950,interacts with,Mpzg01410,Mp5g07950,0.974166902,3.30563580508425e-07,0.034782653,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp7g02470,interacts with,Mp1g03040,Mp7g02470,1.025481936,1.80950454620188e-09,0.058321282,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g11110,interacts with,Mpzg01410,Mp1g11110,1.063590052,0.049115235,0.034638724,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp5g07740,interacts with,Mp1g03040,Mp5g07740,0.96498968,4.10292818320279e-06,0.058217146,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g05200,interacts with,Mpzg01410,Mp3g05200,1.049093023,0.049115235,0.034574142,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g24780,interacts with,Mp1g03040,Mp2g24780,1.025645947,3.30563580508425e-07,0.058037032,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g09755,interacts with,Mpzg01410,Mp1g09755,1.041898964,4.77781991630177e-05,0.03410382,,bHLH,NA,,
Mp1g03040 (interacts with) Mp4g21990,interacts with,Mp1g03040,Mp4g21990,1.073386423,0,0.055828054,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp6g20450,interacts with,Mpzg01410,Mp6g20450,0.961703823,4.10292818320279e-06,0.034047352,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g18740,interacts with,Mp1g03040,Mp2g18740,1.000688254,0,0.054786018,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp6g20700,interacts with,Mpzg01410,Mp6g20700,0.965551676,0,0.034042419,source,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g10240,interacts with,Mp1g03040,Mp2g10240,1.018453896,3.30563580508425e-07,0.054277841,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp8g09430,interacts with,Mpzg01410,Mp8g09430,1.01651923,0,0.034011449,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp1g20880,interacts with,Mp1g03040,Mp1g20880,0.990027858,0.049115235,0.053943682,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp3g02320,interacts with,Mpzg01410,Mp3g02320,0.929523406,2.50863130268897e-08,0.033923662,RNA-seq,bHLH,HD,source,source
Mp1g03040 (interacts with) Mp3g09290,interacts with,Mp1g03040,Mp3g09290,0.973146623,0.000519722,0.051520071,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp6g09230,interacts with,Mpzg01410,Mp6g09230,0.999544322,0,0.033302716,source,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp8g05050,interacts with,Mp1g03040,Mp8g05050,1.010298741,0.00525517,0.05114902,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g12900,interacts with,Mpzg01410,Mp2g12900,0.99831001,0.000519722,0.0330892,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp7g16800,interacts with,Mp1g03040,Mp7g16800,1.017312631,0,0.050987596,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g01830,interacts with,Mpzg01410,Mp2g01830,1.028932693,0.049115235,0.033034857,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp4g06070,interacts with,Mp1g03040,Mp4g06070,0.959956938,0.049115235,0.049846627,RNA-seq,Trihelix,NA,source,source
Mp1g03040 (interacts with) Mp6g07390,interacts with,Mp1g03040,Mp6g07390,1.124472391,0.049115235,0.049601187,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp7g18140,interacts with,Mpzg01410,Mp7g18140,0.991470662,0.00525517,0.032928007,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp2g24800,interacts with,Mp1g03040,Mp2g24800,0.978753399,0.000519722,0.047134486,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp1g11700,interacts with,Mpzg01410,Mp1g11700,1.14077907,0,0.03282783,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp4g17840,interacts with,Mp1g03040,Mp4g17840,1.016770844,0.000519722,0.046245551,,Trihelix,NA,,
Mpzg01410 (interacts with) Mp4g21220,interacts with,Mpzg01410,Mp4g21220,1.038433657,0.00525517,0.032777266,RNA-seq,bHLH,GARP,source,source
Mp1g03040 (interacts with) Mp3g24620,interacts with,Mp1g03040,Mp3g24620,1.06145635,1.80950454620188e-09,0.045414817,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g07210,interacts with,Mpzg01410,Mp2g07210,0.969316971,0.049115235,0.03270357,RNA-seq,bHLH,NA,source,source
Mp1g03040 (interacts with) Mp4g01950,interacts with,Mp1g03040,Mp4g01950,1.031211411,0.000519722,0.04471889,RNA-seq,Trihelix,NA,source,source
Mpzg01410 (interacts with) Mp2g11080,interacts with,Mpzg01410,Mp2g11080,1.053891453,0,0.03265293,RNA-seq,bHLH,AP2/ERF,source,source
Mp1g03040 (interacts with) Mp5g21385,interacts with,Mp1g03040,Mp5g21385,1.043237249,1.80950454620188e-09,0.043976748,RNA-seq,Trihelix,NA,source,source
